BA_median,BA_std,IGN_median,IGN_std,C,C_std,CO2eq,CO2eq_std
0,0.0802531216929889,0,24.5302449420489,0,0,0,0
0.312354752332804,0.141644883996571,97,25.1095452819095,10.7367591268414,4.66018028079004,30.4118702267783,8.84444003194675
0.599848721350986,0.182439055920367,158,18.4211111862813,20.7950324465204,9.03524495890506,58.901929404769,17.1704206462583
0.393165965739979,0.15141677929551,117,22.0590166647613,13.0621605852185,5.67670256296157,36.9985698576313,10.7833761037396
0.317816709660161,0.139303586916391,108,23.6974223033608,10.33596060133,4.51657978993812,29.2766084032671,8.62977378471873
0.280933221091901,0.149460554066223,85,29.1472349512832,9.37677878212584,4.07220656824122,26.5597259003714,7.72988403931146
0.288653411662422,0.141926917603659,96,27.3004767729802,10.0446535249219,4.36703933418124,28.4514811093414,8.3054477928092
0.310140638677654,0.171026053432234,81,29.7948409720299,10.595146714929,4.59676596775509,30.0107530700363,8.71898933154939
0.279010068176284,0.143445460003269,94,27.7772302168254,9.37734889683795,4.06946853477704,26.5613407502935,7.71907481090829
0.323731946184365,0.143230313069161,102,25.0081266271066,10.9050778110475,4.73170622372987,30.888632899792,8.97392921893364
0.390266970280136,0.15237268912869,121,21.8430380054907,12.4225493986451,5.4790953344235,35.1868711716622,10.5723440770548
0.0111462731872143,0.106270734029447,7,30.7328178026371,0.407947532773401,0.180440471520353,1.15551138658066,0.34995591010115
0.00729627758053142,0.103598739082506,6,31.9860173248297,0.268824383607903,0.119306779837909,0.761445066569386,0.232230356199306
0.390035837668055,0.157755484690564,120,21.9786344291762,12.9000271017211,5.61098725114284,36.5393267656251,10.6680351211813
0.20117924417061,0.127114455849387,72,31.2935946331684,6.96071878430341,3.02350827173344,19.7162359565394,5.74378665292939
0.426977826772143,0.157342629579274,122.5,21.4557527093394,14.6190056529141,6.34330418932834,41.4083335118791,12.0338543699894
0.413418331790694,0.151470631322142,123,21.8236713600538,14.1846521301547,6.15574695526115,40.1780271586632,11.6804191287546
0.000344409855521853,0.0898849571353715,2,28.3183587172781,0.012845109971543,0.0057394453470276,0.0363837739943957,0.0112512778264311
0,0.0474788237161586,0,16.2698558139957,0,0,0,0
0.137307324932103,0.129104763985485,48,32.7830773595335,4.7711217568006,2.07378090415604,13.5142023761377,3.94279473079934
0.145843702138692,0.143376423100569,46,33.4864052764452,5.20522937912989,2.2781956766456,14.7438122163854,4.36695476395532
0.0916964224971382,0.106639967056071,42,33.9837381472147,3.18410424691468,1.38382468776352,9.01897527938583,2.63064675581278
0.0413262191900161,0.113739122758012,20,32.282127869454,1.5029475437795,0.662782358411391,4.25709891775542,1.28123980949475
0.0380105129259768,0.107893903893881,20,31.9133825061366,1.37103013041043,0.602461952446655,3.88344284438753,1.16005100253433
0.192460968994796,0.12107654551008,74,30.3132820900521,6.35320435596946,2.76452459165998,17.9954513382835,5.25841932637417
0.117859749630997,0.123335566372455,44,34.4804074584176,4.2229976149604,1.85088864949481,11.9616407443753,3.55354438964427
0.0220315272646342,0.0980616362528926,12,31.414156175333,0.810822863338022,0.359640902081456,2.29665576040495,0.699604780663744
0.1255164342228,0.125616017278486,43,33.6773702843507,4.47140083218649,1.95578053277197,12.6652428571682,3.74621363637285
0.249159446186845,0.129560912671524,94,25.4670228580659,8.24175300929956,3.58473209239723,23.344765398841,6.81537326513662
0.279062361549512,0.153380337352184,84,29.6331969649304,9.50028355655146,4.12127999320676,26.909553173932,7.81563467339163
0.632878670999739,0.186201197817819,161,17.4452840026734,21.6698863770645,9.40277017167973,61.3799531630352,17.8380391898038
