system:index,EoS,LST,LSTera5,Rf,SoS,Ta,Ucomp,Vcomp,def,ndvi,vpd,year,.geo
0_00000000000000000000,258.1561683834225,-999.0,8.729149539934493,4.615902072881711,156.40234174250315,7.892366039913406,-0.5978269539465016,-0.4081494947444571,21.092022458994972,0.5478622774659858,0.30356271242233507,1982.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_00000000000000000000,258.70635363669254,-999.0,9.302855885855942,5.49951341259165,149.21163861025832,8.463824770000809,0.20942699821697094,-0.08234860576952141,20.16234468114979,0.5518212589311053,0.3059651450040284,1983.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_00000000000000000000,255.85983394642207,-999.0,9.17067480870748,5.361777566491836,150.3314777622026,8.375551846899635,-0.5623150366111145,-0.689454968756924,21.713214649050983,0.5648024800154848,0.33191542431441307,1984.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3_00000000000000000000,254.98961352688255,-999.0,8.789216610006756,5.853768570943405,148.1992203647643,7.9734376768197155,-0.889888520644184,-0.597987028887988,10.244184714862158,0.5790503198468547,0.2815137516085873,1985.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4_00000000000000000000,252.0647214805642,-999.0,8.71114841674803,5.966159126639501,155.11437790065077,7.945641619420024,-0.5190721989638779,-0.502634778353559,15.18162809921524,0.5763965546665081,0.2867282123733517,1986.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5_00000000000000000000,259.23632454241937,-999.0,8.274803934603415,4.778169965096151,160.795868597396,7.591919430731818,-0.326979343551341,-0.415290550665989,15.37328767988912,0.5462935361995763,0.27655730662123423,1987.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6_00000000000000000000,257.143838078634,-999.0,8.942614032268807,6.534906377214534,148.21623238573318,8.076138588011505,-0.4143735771391046,-0.7517335252802904,16.11171701590368,0.5869917512615941,0.2944368644144474,1988.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7_00000000000000000000,258.098089596644,-999.0,6.882711962030313,6.8334300159966,158.17533503510552,6.264760994106826,0.6467929048406857,-0.32573983286457037,9.072393188804051,0.5287566962275889,0.22560596546398964,1989.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
8_00000000000000000000,257.3826868280049,-999.0,9.444852535704527,5.613785140562661,145.49044910959412,8.629503317650743,-0.17192397408182575,-0.6763925475949257,21.771359047574283,0.5983122468157852,0.319419299924624,1990.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
9_00000000000000000000,258.75437335009485,-999.0,10.144027356318695,5.507078264352737,154.35734463624462,9.39393300860363,-0.23945014166861486,-0.468805378306876,20.670182242677065,0.5808740955929229,0.3430359541341164,1991.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
10_00000000000000000000,256.5297900182044,-999.0,7.482560868115867,5.806391504213595,158.09490913009307,6.924649747489747,0.13476659626036613,-0.13036939380098153,15.73648673922095,0.5442888812264268,0.2624996917847785,1992.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
11_00000000000000000000,257.5263940385213,-999.0,8.249252635491223,5.543962199587015,148.73822546753644,7.554723331373507,-0.0921368626163258,-0.726700780077555,16.048770219510754,0.5764010238047064,0.29226171341126045,1993.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
12_00000000000000000000,256.99809221233755,-999.0,8.599095590068384,5.781678606860768,149.92697012523246,7.761936569291062,0.054152942246359775,-0.5614184819431288,21.173177806173673,0.5790537091516074,0.29599217410002415,1994.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
13_00000000000000000000,256.10225188696023,-999.0,9.796640204794018,5.869272373330463,152.13575733738568,9.043681814629386,-0.19299432099101607,-0.147183551032615,18.228853793256505,0.5818717334985074,0.29804616814326446,1995.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
14_00000000000000000000,258.37912368589065,-999.0,7.395151116388258,5.9671945937547575,162.33073093368938,6.710627861364735,-0.402084537182815,-0.48413091211790954,9.738159511380465,0.5452329819119739,0.24173149819253134,1996.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
15_00000000000000000000,257.06524858246723,-999.0,8.740078803744435,5.930397444012368,149.468218925799,7.933835802549469,-0.6103620961271236,-0.49640220646778577,15.775357141786241,0.5976358270618498,0.2805501890869754,1997.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
16_00000000000000000000,254.00930890745474,-999.0,8.967995096722928,5.784975112720503,153.18398860074848,8.175025970051676,-0.6799238695516205,-0.7802335728734092,14.642525956715184,0.5911049633978739,0.2772839784218779,1998.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
17_00000000000000000000,257.970834431723,-999.0,8.729794090886049,6.672260179655734,147.94007537619777,7.962749090822097,-0.1880094679366152,-0.2951542137890633,11.999736389833876,0.593142795035292,0.27489035846729587,1999.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
18_00000000000000000000,256.77514629633015,15.488204848093496,9.215136955180675,6.066910532032343,149.1496293161604,8.318680128621304,-0.49588439665975786,-0.5525749583953934,15.612291373547924,0.6091237206916381,0.29055320288366715,2000.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
19_00000000000000000000,251.70066266742282,16.72175840591909,10.946369497981173,5.168605221318412,145.3431758993073,9.906645331879362,-0.6366560102074895,-0.4618852026286747,30.269918979246626,0.6054076862568974,0.39516619549124066,2001.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
20_00000000000000000000,250.25005351325416,16.52881055659134,10.727512983158228,5.694348869181305,149.16218723218586,9.93263203866731,-0.14919237780154723,-0.012163064029707007,15.687047911537364,0.6005026519658225,0.3376762610325549,2002.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
21_00000000000000000000,255.85311799652735,16.01402910162277,9.56279868200334,5.586740594516796,150.2150606843014,8.806257376056122,0.08631318684415164,-0.5290574236452693,16.848323499427035,0.6021719683924752,0.30157045242538694,2003.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
22_00000000000000000000,255.5220094142446,13.940844346497723,8.113929220796772,4.860256352833988,152.8396615876458,7.33315857497794,-0.5007895684640232,-0.7454364356418934,13.71527285877252,0.5870502987724477,0.26589097496641817,2004.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
23_00000000000000000000,256.4802444626456,15.726657359756734,9.933874618506387,5.8562930996645655,145.45981869029518,9.020784477299744,-0.5538889256139848,-0.7207631571481216,17.89668350249207,0.6004936132540654,0.32114539515011614,2005.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
24_00000000000000000000,254.3894362354171,15.188780100653023,9.692824065110692,5.562222924313864,150.51972255959,8.882937009770954,0.09699107545671365,-0.35282280951854844,16.587538750057472,0.5975759619938134,0.31239794766812434,2006.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
25_00000000000000000000,255.34008253911014,15.63442800423137,10.08293327764701,6.547585257866349,148.42060143265755,9.307302703222524,-0.35732308351274766,-0.4242694484455096,12.129139295966043,0.6116854491822193,0.3089537965915379,2007.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
26_00000000000000000000,256.69283992868475,14.807449804597463,9.190485957142633,6.117483366671529,152.28101548319586,8.47981239048312,-0.6911873382331828,-0.6259601502982318,16.762572463745027,0.5931126396735297,0.29224935859673284,2008.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
27_00000000000000000000,260.523186330377,15.608053569363436,9.624369814337518,5.08849170932745,149.98839086739957,8.827263399638731,0.1257230497923168,-0.4968768388132737,20.891823190390586,0.5902288147324931,0.3378969120874701,2009.0,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
