system:index,BAMod_bool,BAMod_class,BAS3_bool,BAS3_class,FinalBurn_class,Landsat_bool,Landsat_class,TM_bool,TM_class,comb,issubset_BAMod,issubset_BAS3,issubset_Landsat,issubset_TM,lat,lon,sampleID
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000057b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.56144733,125.6169122,192
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000009c,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.56395335,119.3557145,2024
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000009d,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.56571915,132.9875743,3005
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000009e,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.56636126,149.5705119,2010
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000057d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.56780601,136.4923341,2
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000057e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.56891633,125.4321047,8
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000009f,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.56903227,148.0586403,3079
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57116818,108.4582333,2758
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57155166,166.2510547,1826
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57293844,150.4364559,819
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57326841,146.9870648,2868
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57478897,142.4327129,662
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57482464,112.7142179,1022
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57716121,146.7547144,1950
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57735741,143.3286533,2780
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.57942197,136.1448185,2974
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000a9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.5800507,143.2772532,579
1_1_1_1_2_2_1_2_1_2_000000000000000000aa,0,0,1,2,0,0,0,0,0,15,1,1,0,1,66.58090239,135.8232817,1362
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000057f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.58200825,163.6673757,2785
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ab,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.58219553,124.634046,919
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ac,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.58326572,138.7188079,2576
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ad,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.58378297,146.0355149,2883
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ae,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.58468817,150.3255313,1381
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000580,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.5852411,125.2405774,177
1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000619,0,0,1,2,2,1,2,1,2,3,1,1,1,1,66.58526785,150.0677551,559
2_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000042,0,0,0,0,2,1,2,1,2,4,1,0,1,1,66.5857093,151.2796853,2913
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000af,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.59521165,133.4318034,418
1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_2_000000000000000004f9,1,1,1,1,0,1,1,0,0,9,1,1,1,1,66.59570661,132.1475109,2397
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.597517,108.2678074,1750
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.59900188,151.7287792,1456
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60021476,147.0728713,2887
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.60087917,125.2319089,55
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60189138,133.5835555,2115
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.60322019,125.15177,1235
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60414769,166.2815683,2267
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60433943,134.8697653,2635
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.6060874,151.5756983,415
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60928011,136.1387987,1765
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.60939605,147.2358514,3064
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000b9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.61349842,138.8780468,732
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ba,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.61642359,138.5952952,1295
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000bb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62251472,136.2848834,595
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000bc,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62400852,135.7050352,880
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000670,1,2,1,2,2,1,2,1,2,1,1,1,1,1,66.624829,136.1774681,227
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000bd,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62564055,148.0101743,661
1_2_1_1_1_2_2_1_1_2_00000000000000000505,1,1,0,0,0,0,0,0,0,14,1,1,0,0,66.62566285,-178.310417,21
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000be,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62575203,138.8503959,2539
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000bf,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62829372,124.6035235,2090
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62940849,163.4347712,542
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.62966712,136.2375054,893
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.63092459,119.4948473,470
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.63419311,-178.5865914,3082
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.6363424,146.2787678,1938
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.63962429,138.5740342,3364
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.64042693,124.9071704,1228
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.64159522,125.3269368,11
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.64602756,146.3569358,3216
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.64765514,149.247508,1627
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000c9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.65246651,138.8659136,598
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ca,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.6552802,125.6322693,1329
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000cb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.65682751,125.5664351,1398
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000cc,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.65720207,176.6460664,2730
1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000540,0,0,1,1,1,1,1,1,1,3,0,1,1,1,66.65939595,125.4455534,94
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000cd,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.66018967,163.5657528,2120
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ce,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.66064004,149.8779713,3106
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000cf,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.66132228,163.6183925,2238
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.66186629,152.5167113,2260
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.66668212,119.5462162,640
1_2_2_1_1_1_2_1_1_1_1_2_000000000000000000d2,0,0,0,0,0,1,1,0,0,12,0,1,1,0,66.67118581,120.2648895,2772
1_1_1_1_2_2_1_2_1_2_00000000000000000538,0,0,1,1,1,0,0,0,0,15,1,1,0,1,66.67354914,146.9418361,2496
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.67563599,133.5396645,1893
