doy,lat,lon,status,fireid
87,66.1419,76.9554,1,1887001
87,65.9048,77.2505,1,1887002
87,66.2112,77.242,1,1887003
87,65.9053,77.2571,2,1887002
87,66.1446,76.9534,2,1887001
87,66.1446,76.9485,2,1887001
87,66.1414,76.9577,2,1887001
87,66.1501,76.9626,2,1887001
87,66.2113,77.2629,2,1887003
88,65.9047,77.2339,3,1887002
88,65.6854,78.9797,1,1888001
88,66.2105,77.2476,3,1887003
88,65.9083,77.2549,3,1887002
88,66.1482,76.9385,3,1887001
88,69.3728,88.1243,1,1888002
88,66.2086,77.2473,3,1887003
112,66.1419,76.932,3,1887001
120,66.15,76.9515,3,1887001
120,66.1464,76.9303,3,1887001
120,66.1401,76.9422,3,1887001
120,69.3689,88.1238,1,1920001
122,69.3749,88.1175,3,1888002
127,69.3103,88.2268,3,1920001
127,69.3135,88.2273,3,1920001
128,66.1458,76.9367,3,1887001
128,66.1502,76.978,3,1887001
129,66.4282,143.0591,1,1929001
129,69.3108,88.2348,3,1920001
131,66.2718,143.1623,1,1931003
131,66.3178,142.9879,1,1931001
131,66.4281,142.8657,3,1929001
131,66.4353,142.8517,3,1929001
131,66.4326,142.8427,3,1929001
131,67.2242,135.4917,1,1931002
131,67.2014,135.4458,2,1931002
131,67.1897,135.4605,2,1931002
131,68.097,139.4012,1,1931004
131,67.3189,132.2539,1,1931005
131,66.2713,143.1769,2,1931003
131,66.3212,142.9821,2,1931001
131,66.4264,142.7818,3,1929001
131,67.1854,135.4713,2,1931002
131,67.1942,135.4249,2,1931002
131,67.2281,135.4944,2,1931002
131,67.5019,132.8085,1,1931006
131,68.0922,139.3832,2,1931004
131,66.3352,142.9956,2,1931001
132,66.2291,143.3986,1,1932002
132,66.2247,143.404,2,1932002
132,68.1176,139.3102,3,1931004
132,68.1172,139.3029,3,1931004
132,67.7097,133.2478,1,1932006
132,67.5599,134.4895,1,1932003
132,67.5589,134.4809,2,1932003
132,67.5538,134.5054,2,1932003
132,67.1534,135.5247,3,1931002
132,67.1478,135.5502,3,1931002
132,66.9823,131.8913,1,1932004
132,67.7517,130.9939,1,1932001
132,67.76,131.0043,2,1932001
132,66.9867,131.8685,2,1932004
132,67.0883,132.8561,1,1932005
132,67.0853,132.8331,2,1932005
132,67.1292,132.7955,2,1932005
132,66.9769,131.8654,2,1932004
132,67.7507,131.0183,2,1932001
132,67.7562,130.9872,2,1932001
132,67.7476,130.9954,2,1932001
132,67.7593,131.0101,2,1932001
132,67.5765,135.7083,1,1932007
132,67.3237,132.3268,3,1931005
133,67.2939,133.0362,1,1933003
133,67.1268,134.5128,1,1933004
133,67.2954,132.271,3,1931005
133,68.2601,139.3491,1,1933002
133,68.2569,139.3726,2,1933002
133,66.7811,133.6035,1,1933005
133,67.1268,131.6772,1,1933001
133,67.9733,134.2475,1,1933006
133,67.5762,133.7052,1,1933007
133,67.122,131.6726,2,1933001
133,67.3818,133.1877,1,1933008
134,67.9652,131.5921,1,1934002
134,67.9736,131.6015,2,1934002
134,67.9688,131.5699,2,1934002
134,67.9604,131.5605,2,1934002
134,67.9569,131.5827,2,1934002
134,67.9771,131.5793,2,1934002
134,67.9485,131.5734,2,1934002
134,67.0666,134.3256,3,1933004
134,67.4901,132.7393,3,1931006
134,67.4863,132.7613,3,1931006
134,67.5005,132.6196,3,1931006
134,67.3638,132.3197,3,1931005
134,68.2876,139.3438,3,1933002
134,66.7633,133.6928,3,1933005
134,66.603,132.9338,1,1934001
134,67.1083,134.3716,3,1933004
134,67.1326,134.4192,3,1933004
134,67.4935,132.7715,3,1931006
134,67.4903,132.7493,3,1931006
134,67.5313,132.9623,3,1931006
134,66.5978,132.9247,2,1934001
134,67.9865,131.5905,2,1934002
134,69.3708,88.1083,3,1888002
135,67.4953,136.1217,1,1935006
135,67.9615,134.0707,3,1933006
135,67.1028,135.0681,1,1935002
135,67.0302,135.607,3,1931002
135,67.0274,135.6355,3,1931002
135,67.4767,136.7363,1,1935007
135,67.1025,135.08,2,1935002
135,67.1855,135.7657,1,1935008
135,68.2643,139.2882,3,1933002
135,67.0278,135.6012,3,1931002
135,68.453,135.2395,1,1935003
135,68.4616,135.2248,2,1935003
135,68.5075,134.6735,1,1935009
135,69.1759,134.4078,1,1935010
135,69.1533,134.2672,1,1935004
135,69.0965,134.3348,2,1935004
135,69.0953,134.2872,2,1935004
135,69.0877,134.3173,2,1935004
135,67.1653,134.8914,1,1935011
135,67.0774,135.4864,3,1931002
135,67.0676,135.4677,3,1931002
135,67.0592,135.4676,3,1931002
135,67.0525,135.4787,3,1931002
135,67.0273,135.6567,3,1931002
135,67.2335,136.3088,1,1935012
135,66.141,76.9394,3,1887001
135,65.9065,77.2321,1,1935005
135,66.1383,76.9371,3,1887001
135,65.9035,77.254,2,1935005
135,66.209,77.2416,1,1935001
135,66.1431,76.9503,3,1887001
135,66.2104,77.2462,2,1935001
135,66.2122,77.2477,2,1935001
135,66.2107,77.2665,2,1935001
135,66.2178,77.2376,2,1935001
135,66.1424,76.9598,3,1887001
135,66.1496,76.9659,3,1887001
136,67.5138,133.0447,3,1931006
136,66.8935,79.6682,1,1936001
136,66.1472,76.9559,3,1887001
136,66.1436,76.9346,3,1887001
136,65.9035,77.2511,3,1935005
136,66.2055,77.2434,3,1887003
136,66.2088,77.2384,3,1935001
136,66.1425,76.9588,3,1887001
137,65.8878,132.6957,1,1937001
137,67.4682,134.3176,1,1937002
137,65.8062,80.4863,1,1937003
137,65.904,77.2503,3,1935005
137,66.1465,76.9457,3,1887001
137,66.1514,76.9592,3,1887001
138,69.37,88.1124,3,1888002
138,66.8944,79.6708,3,1936001
138,66.1441,76.9375,3,1887001
138,66.2093,77.2215,3,1935001
139,67.9762,146.1813,1,1939001
142,68.3745,132.172,1,1942001
142,68.0897,132.4261,1,1942006
142,66.8581,133.1161,1,1942002
142,66.851,133.0871,2,1942002
142,66.859,133.1103,2,1942002
142,68.0981,132.4682,2,1942006
142,68.0913,132.4399,2,1942006
142,68.3743,132.1696,2,1942001
142,68.5773,132.8765,1,1942003
142,68.5691,132.9076,2,1942003
142,65.7852,132.6526,1,1942005
142,68.1064,132.5045,2,1942006
142,66.8541,133.1158,2,1942002
142,65.7767,132.6464,2,1942005
142,65.7877,132.6417,2,1942005
142,68.5877,132.8908,2,1942003
142,68.5934,132.8839,2,1942003
142,68.9672,134.3518,1,1942004
142,68.9581,134.3472,2,1942004
143,66.3125,131.4044,1,1943001
143,66.7723,131.4495,1,1943002
143,66.2617,131.3489,2,1943001
143,66.169,132.9299,1,1943003
143,69.3121,88.2352,3,1920001
144,68.4115,144.4547,1,1944008
144,66.0172,132.9558,1,1944011
144,65.9576,147.8636,1,1944005
144,65.9537,147.8854,2,1944005
144,66.4975,133.3906,1,1944010
144,66.4398,133.3946,2,1944010
144,66.4289,133.3893,2,1944010
144,65.0641,132.7641,1,1944003
144,66.4948,133.426,2,1944010
144,66.4725,133.4101,2,1944010
144,65.201,146.9687,1,1944004
144,67.5361,131.1263,1,1944002
144,67.5403,131.1328,2,1944002
144,67.1261,130.4032,1,1944012
144,67.5283,131.1286,2,1944002
144,67.1743,130.0125,1,1944001
144,65.9503,147.8858,2,1944005
144,65.957,147.8741,2,1944005
144,65.1953,146.9773,2,1944004
144,67.6672,133.1208,3,1932006
144,68.3035,152.2975,1,1944013
144,66.4336,133.3884,2,1944010
144,66.4376,133.3739,2,1944010
144,67.5873,135.5244,3,1932007
144,65.0568,132.7578,2,1944003
144,68.9221,138.5658,1,1944014
144,68.4037,144.4327,2,1944008
144,66.1987,131.296,3,1943001
144,67.5375,131.1359,2,1944002
144,67.1742,130.0086,2,1944001
144,69.0705,134.3451,3,1935004
144,69.0792,134.3285,3,1935004
144,69.0753,134.3285,3,1935004
144,66.4127,132.5199,1,1944015
144,66.449,133.3726,2,1944010
144,65.8855,131.7047,1,1944007
144,65.8436,131.7658,2,1944007
144,65.8663,131.7096,2,1944007
144,65.8399,131.7534,2,1944007
144,67.7486,130.9675,3,1932001
144,65.8847,131.6939,2,1944007
144,67.6589,133.0806,3,1932006
144,66.473,135.0096,1,1944006
144,66.4838,135.0042,2,1944006
144,65.0048,132.6515,1,1944009
144,65.0022,132.6257,2,1944009
144,65.0648,132.7535,2,1944003
144,65.7205,132.6337,3,1942005
144,68.9584,134.3902,3,1942004
144,68.2312,131.7293,1,1944016
145,68.0265,144.5544,1,1945002
145,68.0244,144.5459,2,1945002
145,66.4954,132.1766,1,1945004
145,66.4966,132.1723,2,1945004
145,68.0707,151.7344,1,1945009
145,66.4957,132.149,2,1945004
145,66.4924,132.1548,2,1945004
145,68.7182,134.3039,1,1945008
145,68.7149,134.3275,2,1945008
145,68.0265,144.5171,2,1945002
145,68.0207,144.5431,2,1945002
145,68.4476,144.9412,1,1945006
145,68.4141,144.9862,2,1945006
145,66.155,132.8255,3,1943003
145,66.1519,132.8466,3,1943003
145,67.7173,133.1916,3,1932006
145,68.3935,133.2388,1,1945003
145,66.261,133.3406,1,1945005
145,67.9575,134.0758,3,1933006
145,65.8353,131.7894,3,1944007
145,66.5086,132.1691,2,1945004
145,67.7587,129.5837,1,1945001
145,66.0197,132.4759,1,1945007
145,66.0153,132.4533,2,1945007
145,66.1502,132.8221,3,1943003
145,67.7148,133.1972,3,1932006
145,68.9786,134.414,3,1942004
145,67.9535,134.0629,3,1933006
145,68.41,144.9666,2,1945006
145,68.4261,144.9506,2,1945006
145,67.7386,144.1126,1,1945010
145,66.5088,132.1937,2,1945004
145,67.752,129.5804,2,1945001
145,66.5044,132.1712,2,1945004
145,65.8318,131.7684,3,1944007
145,67.1063,129.9303,3,1944001
145,67.1174,130.3234,3,1944012
145,68.685,134.1897,1,1945011
145,68.4238,133.3107,2,1945003
145,68.9804,134.4274,3,1942004
145,68.4335,133.336,2,1945003
145,66.1772,132.7534,3,1943003
145,67.1145,130.3228,3,1944012
145,67.0758,129.9364,3,1944001
145,67.0824,129.9551,3,1944001
145,67.1066,130.003,3,1944001
145,67.7583,129.5866,2,1945001
145,67.0781,129.9347,3,1944001
145,67.0819,129.9433,3,1944001
145,66.2607,133.3123,2,1945005
145,66.2598,133.3212,2,1945005
145,66.2795,131.1138,1,1945012
145,68.419,133.3019,2,1945003
145,68.4191,133.312,2,1945003
145,67.7561,129.553,2,1945001
145,66.1483,76.9647,3,1887001
145,65.9071,77.2585,3,1887002
146,68.3183,154.5717,1,1946002
146,68.0327,144.5664,3,1945002
146,68.0297,144.5914,3,1945002
146,68.421,151.277,1,1946003
