doy,lat,lon,status,fireid
127,66.8929,79.6806,1,1427001
127,66.3878,76.8634,1,1427002
128,66.3861,76.8631,3,1427002
129,67.7903,77.0076,1,1429001
129,66.7982,79.5774,1,1429002
130,66.0299,132.7732,1,1430004
130,67.2399,136.3352,1,1430003
130,67.231,136.3547,2,1430003
130,66.0289,132.7383,2,1430004
130,65.8314,132.6637,1,1430001
130,65.8231,132.6955,2,1430001
130,65.819,132.6739,2,1430001
130,65.8163,132.646,2,1430001
130,65.8169,132.6671,2,1430001
130,65.8295,132.6893,2,1430001
130,65.8269,132.6615,2,1430001
130,67.1848,135.4583,1,1430002
130,67.196,135.4535,2,1430002
130,67.7876,77.0302,3,1429001
130,67.7919,77.0111,3,1429001
131,66.0263,132.6315,3,1430004
131,66.881,132.2806,1,1431001
131,66.8729,132.199,2,1431001
131,66.8699,132.2211,2,1431001
131,66.8427,132.2159,2,1431001
131,66.0232,132.6525,3,1430004
131,67.2145,135.5475,3,1430002
131,67.2095,135.5169,3,1430002
131,66.025,132.6208,3,1430004
131,66.1662,133.002,1,1431002
131,66.0208,132.6537,3,1430004
131,66.0294,132.6435,3,1430004
131,66.8362,132.2023,2,1431001
131,66.8706,132.2723,2,1431001
131,66.8791,132.2617,2,1431001
131,66.385,76.8598,3,1427002
131,66.2613,78.7063,1,1431003
131,66.8008,79.5674,3,1429002
132,67.8932,165.7767,1,1432008
132,66.9746,133.0505,1,1432002
132,66.4898,131.8217,1,1432004
132,66.5487,131.8416,2,1432004
132,66.9708,133.0223,2,1432002
132,66.9207,132.2412,3,1431001
132,66.9897,133.0148,2,1432002
132,66.9838,133.041,2,1432002
132,66.9748,133.0279,2,1432002
132,66.2857,133.0531,1,1432001
132,65.8637,132.6789,3,1430001
132,66.5451,131.855,2,1432004
132,66.5541,131.8668,2,1432004
132,66.5596,131.8418,2,1432004
132,66.7219,131.677,1,1432006
132,66.4912,131.8419,2,1432004
132,67.0758,131.7374,1,1432005
132,66.566,131.8411,2,1432004
132,66.5588,131.8277,2,1432004
132,66.7273,131.6637,2,1432006
132,65.89,131.0542,1,1432009
132,66.5616,131.8516,2,1432004
132,66.4896,131.8269,2,1432004
132,66.8632,131.8136,1,1432010
132,66.9192,134.2795,1,1432003
132,66.9164,134.2516,2,1432003
132,66.9176,134.2757,2,1432003
132,66.9202,132.2286,3,1431001
132,66.9499,132.3158,3,1431001
132,66.6235,132.9266,1,1432007
132,66.6207,132.9013,2,1432007
132,66.9748,133.0219,2,1432002
132,66.9757,133.0164,2,1432002
132,66.2839,133.0497,2,1432001
132,66.9945,133.0034,2,1432002
132,65.8659,132.6545,3,1430001
132,65.8687,132.6787,3,1430001
132,67.5855,135.5837,1,1432011
132,67.0733,131.7499,2,1432005
132,67.7865,134.7521,1,1432012
133,67.8763,165.8417,3,1432008
133,67.8802,165.8194,3,1432008
133,67.8832,165.8291,3,1432008
133,67.88,165.8064,3,1432008
133,67.8747,165.8376,3,1432008
133,66.3384,133.0405,3,1432001
134,67.4162,135.728,1,1434004
134,67.5944,136.8123,1,1434001
134,67.5917,136.8032,2,1434001
134,67.5968,136.7666,2,1434001
134,67.4159,135.7345,2,1434004
134,67.668,136.4174,1,1434006
134,67.6497,135.6906,3,1432011
134,67.4248,135.7164,2,1434004
134,67.5981,136.7687,2,1434001
134,67.521,136.6447,1,1434002
134,67.5122,136.6311,2,1434002
134,67.4619,136.5901,2,1434002
134,67.6489,135.6966,3,1432011
