doy,lat,lon,status,fireid
5,68.5198,79.9597,1,30005001
5,66.2834,78.7424,1,30005002
54,66.2804,78.7498,1,30054001
54,68.5282,79.9587,1,30054002
55,68.5245,79.9572,3,30054002
55,66.2877,78.7501,3,30005002
55,68.524,79.9613,3,30054002
55,66.2876,78.7425,3,30005002
55,66.284,78.7636,3,30005002
61,68.523,79.9597,3,30054002
62,66.2828,78.7431,3,30005002
73,66.2109,77.2383,1,30073001
73,65.903,77.2555,1,30073002
89,67.0104,75.5863,1,30089001
89,66.289,78.7535,3,30005002
95,67.8063,72.521,1,30095002
95,67.5988,83.252,1,30095004
95,67.3188,83.1505,1,30095001
95,67.3186,83.1427,2,30095001
95,66.2863,78.7495,3,30005002
95,68.4907,80.1827,1,30095005
95,68.5298,79.9798,1,30095003
95,68.5208,79.9623,2,30095003
95,67.8077,72.5352,2,30095002
95,66.279,78.7712,3,30005002
95,66.2849,78.7728,3,30005002
99,68.4912,80.1729,3,30095005
99,68.4225,83.612,1,30099001
99,68.4198,83.6532,2,30099001
99,68.411,83.6448,2,30099001
99,67.5967,83.252,3,30095004
99,68.4156,83.6368,2,30099001
99,67.5947,83.2678,3,30095004
100,66.2823,78.7476,3,30005002
101,68.4879,80.1625,3,30095005
101,68.4944,80.1427,3,30095005
101,68.5313,79.9615,3,30054002
101,68.5221,79.928,3,30054002
101,68.5287,79.9626,3,30054002
101,68.5194,79.9293,3,30054002
102,67.5934,83.2548,3,30095004
102,68.4142,83.625,3,30099001
103,66.2815,78.7452,3,30005002
103,66.7569,77.4096,1,30103001
103,66.2821,78.7528,3,30054001
105,66.2841,78.7516,3,30054001
106,66.2847,78.7533,3,30054001
107,66.284,78.7474,3,30054001
108,67.5899,83.2472,3,30095004
108,67.2751,83.2073,3,30095001
108,68.4159,83.6287,3,30099001
108,67.5922,83.2367,3,30095004
108,68.4095,83.5939,3,30099001
108,68.4121,83.6364,3,30099001
108,68.4187,83.6265,3,30099001
111,66.2813,78.7427,3,30005002
111,67.5965,83.2411,3,30095004
111,68.4092,83.6079,3,30099001
111,68.4131,83.6307,3,30099001
111,66.286,78.7474,3,30005002
111,66.2842,78.7553,3,30054001
111,65.9083,77.2465,1,30111001
111,67.7977,72.534,3,30095002
111,67.8053,72.4953,3,30095002
111,67.8081,72.5278,3,30095002
111,68.4189,83.6249,3,30099001
111,67.2804,83.2159,3,30095001
111,67.8106,72.5616,3,30095002
111,67.8155,72.5372,3,30095002
111,67.807,72.5251,3,30095002
111,67.8021,72.5494,3,30095002
112,69.3695,88.1194,1,30112001
112,69.3691,88.1275,2,30112001
112,68.4092,83.6334,3,30099001
112,68.4185,83.6132,3,30099001
113,66.2842,78.7524,3,30054001
113,65.9064,77.2555,3,30073002
114,69.3664,88.1183,3,30112001
114,66.2094,77.2412,1,30114001
114,66.2865,78.7528,3,30005002
114,66.2753,78.7764,3,30005002
114,66.5477,77.4513,1,30114002
114,66.2752,78.7664,3,30005002
115,66.2824,78.7381,3,30005002
115,66.276,78.7323,3,30005002
