doy,lat,lon,status,fireid
81,65.2378,81.3911,1,1681001
87,65.2401,81.3776,3,1681001
109,69.3165,88.2373,1,1709001
115,65.2386,81.3814,3,1681001
116,69.3151,88.2469,3,1709001
122,69.31,88.2517,3,1709001
122,65.239,81.373,3,1681001
124,69.3158,88.2254,3,1709001
124,69.314,88.2178,3,1709001
125,65.2374,81.3749,3,1681001
128,66.2615,78.7264,1,1728001
128,66.1456,76.9476,1,1728002
128,65.9101,77.2418,1,1728003
128,66.2076,77.2437,1,1728004
128,65.2411,81.3869,3,1681001
128,67.2797,74.4171,1,1728005
129,65.169,80.6235,1,1729001
129,65.1625,80.5957,2,1729001
129,66.144,76.9479,3,1728002
129,66.2073,77.2446,3,1728004
129,66.2068,77.2522,3,1728004
130,65.2364,81.3835,3,1681001
130,65.1622,80.615,3,1729001
130,65.2375,81.4012,3,1681001
130,65.9073,77.2438,3,1728003
131,67.4238,137.0596,1,1731001
132,66.468,132.9127,1,1732001
132,65.1678,80.6116,3,1729001
132,65.2374,81.3654,3,1681001
132,65.2408,81.3859,3,1681001
133,67.5194,132.7559,1,1733001
133,67.5144,132.7802,2,1733001
133,65.1706,80.622,3,1729001
133,65.2389,81.4015,3,1681001
133,65.2284,81.3648,3,1681001
133,65.2421,81.3835,3,1681001
134,65.243,81.3768,3,1681001
135,65.1641,80.597,3,1729001
135,65.1668,80.6199,3,1729001
135,66.3832,76.8658,1,1735001
135,66.2076,77.2493,3,1728004
135,65.9038,77.2536,3,1728003
135,66.1463,76.9382,3,1728002
135,65.2417,81.3755,3,1681001
135,65.2443,81.3995,3,1681001
135,66.2628,78.7238,3,1728001
135,66.1488,76.9568,3,1728002
135,66.606,77.4968,1,1735002
135,65.2385,81.3938,3,1681001
136,67.3584,133.1537,1,1736001
136,66.8389,131.7897,1,1736002
137,68.1789,139.3716,1,1737001
137,65.2366,81.3717,3,1681001
137,65.2394,81.3929,3,1681001
137,65.1639,80.6177,3,1729001
137,65.2408,81.3613,3,1681001
137,65.2508,81.37,3,1681001
137,65.24,81.431,3,1681001
137,65.2435,81.3905,3,1681001
137,65.2396,81.4119,3,1681001
137,65.1707,80.6186,3,1729001
137,65.167,80.6395,3,1729001
139,67.2023,135.4656,1,1739001
139,67.1954,135.4633,2,1739001
139,66.8361,134.3279,1,1739002
140,67.579,134.5533,1,1740002
140,67.572,134.5564,2,1740002
140,67.5839,134.5609,2,1740002
140,67.7333,133.3185,1,1740003
140,67.5727,134.5504,2,1740002
140,67.579,134.523,2,1740002
140,67.7241,132.6171,1,1740001
140,67.8178,131.1311,1,1740004
140,67.7253,132.6135,2,1740001
140,67.5659,134.5387,2,1740002
140,65.2477,81.4032,3,1681001
140,65.2385,81.3695,3,1681001
140,66.1403,76.9478,3,1728002
140,66.2107,77.2362,3,1728004
140,65.9036,77.2525,3,1728003
140,66.1498,76.9417,3,1728002
141,67.7164,137.0301,1,1741003
141,67.7203,137.0266,2,1741003
141,67.2703,135.304,1,1741002
141,67.2913,135.221,2,1741002
141,67.3099,135.4414,2,1741002
141,67.313,135.4187,2,1741002
141,67.3161,135.3961,2,1741002
141,67.717,137.0491,2,1741003
141,67.7268,136.9817,2,1741003
141,66.6882,134.4529,1,1741004
141,67.0854,135.6796,1,1741001
141,67.0768,135.6718,2,1741001
141,66.6849,134.4414,2,1741004
141,66.6895,134.4648,2,1741004
141,67.0804,135.6688,2,1741001
141,67.3136,135.4138,2,1741002
141,67.3093,135.3911,2,1741002
141,67.2879,135.2215,2,1741002
141,67.7201,137.0147,2,1741003
141,67.7208,136.9602,2,1741003
141,67.4256,131.9673,1,1741005
141,68.3389,132.0525,1,1741006
141,67.4336,131.9811,2,1741005
141,66.6819,134.4613,2,1741004
141,66.6895,134.4735,2,1741004
141,67.206,135.8371,1,1741007
141,67.7129,137.0182,2,1741003
141,65.2396,81.3845,3,1681001
141,65.16,80.608,3,1729001
141,66.0997,76.8614,3,1728002
141,66.2133,77.2489,3,1728004
141,65.1651,80.6197,3,1729001
141,65.2377,81.4065,3,1681001
141,65.2406,81.3856,3,1681001
142,67.4684,136.7673,1,1742001
142,67.4659,136.7751,2,1742001
142,67.3343,135.3782,3,1741002
142,67.1931,135.2341,3,1741002
142,67.2557,136.3116,1,1742002
142,67.4679,136.7711,2,1742001
142,65.2383,81.3356,3,1681001
143,66.4902,132.9038,3,1732001
143,66.6902,133.7595,1,1743002
143,66.0285,132.579,1,1743003
143,66.592,132.1342,1,1743001
143,66.5991,132.163,2,1743001
143,66.6573,132.0956,2,1743001
143,66.6609,132.1021,2,1743001
143,66.6856,133.7427,2,1743002
143,65.1673,80.618,3,1729001
143,65.2327,81.3719,3,1681001
143,65.2353,81.404,3,1681001
143,65.9015,77.241,3,1728003
143,65.166,80.6125,3,1729001
143,65.1721,80.6153,3,1729001
143,65.1695,80.6393,3,1729001
144,68.2974,131.9288,3,1741006
144,68.2995,131.9228,3,1741006
144,65.1688,80.6113,3,1729001
144,65.1599,80.6178,3,1729001
144,65.2408,81.3855,3,1681001
145,66.5085,134.2718,1,1745003
145,66.5186,134.2775,2,1745003
145,66.5213,134.2479,2,1745003
145,67.7418,134.7106,1,1745006
145,66.5058,134.3014,2,1745003
145,67.3402,135.9149,1,1745004
145,66.9542,133.09,1,1745005
145,66.9386,133.1095,2,1745005
145,66.6184,132.5443,1,1745002
145,66.3795,132.823,1,1745001
145,66.2946,133.0065,1,1745007
145,67.8454,131.1488,3,1740004
145,66.5031,134.2825,2,1745003
145,66.5126,134.2673,2,1745003
145,66.9404,130.6738,1,1745008
145,66.3639,132.8182,2,1745001
145,66.3738,132.8022,2,1745001
145,66.3694,132.801,2,1745001
145,66.6022,132.539,2,1745002
145,67.8356,131.1455,3,1740004
145,67.8443,131.1777,3,1740004
145,66.5914,132.5391,2,1745002
145,67.3313,135.9329,2,1745004
145,66.5284,134.2402,2,1745003
145,66.5854,132.5729,2,1745002
145,66.5827,132.5399,2,1745002
145,66.5933,132.5346,2,1745002
145,66.5907,132.5022,2,1745002
146,66.3202,150.727,1,1746001
146,66.5435,134.4661,3,1745003
146,66.5351,134.4573,3,1745003
146,66.5312,134.4528,3,1745003
146,66.4863,134.3005,3,1745003
146,66.3665,132.7964,3,1745001
146,65.2386,81.3775,3,1681001
146,65.2355,81.3979,3,1681001
146,65.1683,80.6195,3,1729001
146,65.1597,80.6125,3,1729001
146,66.1407,76.9632,3,1728002
146,65.9,77.2544,3,1728003
146,65.1563,80.6063,3,1729001
146,65.1613,80.6302,3,1729001
146,65.2392,81.3881,3,1681001
146,65.2345,81.365,3,1681001
146,65.898,77.2464,3,1728003
146,66.143,76.9533,3,1728002
146,65.9019,77.2335,3,1728003
146,66.1376,76.9573,3,1728002
146,65.161,80.6176,3,1729001
146,65.1648,80.617,3,1729001
146,65.2431,81.3794,3,1681001
146,65.2393,81.3759,3,1681001
146,65.243,81.371,3,1681001
146,65.2288,81.3732,3,1681001
146,65.158,80.6044,3,1729001
146,65.1645,80.5943,3,1729001
146,66.1394,76.9451,3,1728002
146,65.2385,81.3676,3,1681001
146,65.2415,81.3882,3,1681001
146,65.167,80.6185,3,1729001
147,68.3029,139.3968,1,1747004
147,68.3059,139.377,2,1747004
147,67.866,144.4534,1,1747005
147,66.5276,133.368,1,1747003
147,66.2579,133.3802,1,1747001
147,66.258,133.3873,2,1747001
147,66.1487,132.963,1,1747006
147,66.5226,133.3555,2,1747003
147,65.6286,132.6742,1,1747002
147,65.6381,132.6684,2,1747002
147,67.8649,131.3161,3,1740004
147,69.3703,88.1182,3,1709001
147,69.3672,88.1069,3,1709001
148,65.9763,131.5633,1,1748004
148,67.1091,130.0318,1,1748003
148,66.6448,131.0539,1,1748002
148,66.6879,131.0679,2,1748002
148,67.0724,129.972,2,1748003
148,67.0753,129.9464,2,1748003
148,67.1063,130.0574,2,1748003
148,66.6538,131.0607,2,1748002
148,67.0883,129.9958,2,1748003
148,67.0682,129.9574,2,1748003
148,66.1278,132.1477,1,1748001
148,66.1304,132.1573,2,1748001
148,65.9503,131.5753,2,1748004
148,66.6245,131.7379,1,1748005
148,67.29,130.5149,1,1748006
149,68.7701,152.0272,1,1749004
149,68.7684,152.0833,2,1749004
149,68.2804,152.4628,1,1749005
149,68.9231,149.9962,1,1749006
149,67.6957,145.4097,1,1749007
149,67.89,133.5257,1,1749001
149,68.6988,134.2856,1,1749008
149,68.4814,132.5892,1,1749009
149,66.4087,131.6624,1,1749002
149,66.1607,131.3222,1,1749003
149,66.4078,131.6557,2,1749002
149,66.152,131.3111,2,1749003
149,67.0526,129.8583,3,1748003
149,66.1656,131.2982,2,1749003
149,67.8868,133.5308,2,1749001
149,67.8839,133.504,2,1749001
149,66.1551,131.2906,2,1749003
149,66.725,131.0156,3,1748002
149,66.158,131.3125,2,1749003
