doy,lat,lon,status,fireid
93,67.7131,83.4912,1,25093001
93,67.7955,83.5383,2,25093001
93,67.71,83.4681,2,25093001
93,67.7148,83.4944,2,25093001
99,67.7913,83.5416,3,25093001
101,66.2101,77.2505,1,25101002
101,66.5824,77.6316,1,25101003
101,66.2635,78.7134,1,25101001
101,66.2779,78.7002,2,25101001
102,67.7961,83.5479,3,25093001
102,67.7929,83.5254,3,25093001
102,66.4778,77.1667,1,25102001
102,65.7932,79.0321,1,25102002
103,67.7961,83.56,3,25093001
104,69.3681,88.1159,1,25104001
105,69.3164,88.2319,3,25104001
105,66.2857,78.751,3,25101001
105,66.2828,78.7291,3,25101001
109,69.3704,88.1281,3,25104001
112,67.7973,83.5424,3,25093001
112,67.7909,83.5395,3,25093001
112,66.2871,78.7547,3,25101001
112,65.7945,79.0488,3,25102002
114,67.7931,83.5446,3,25093001
114,67.7923,83.5398,3,25093001
114,65.9389,77.2338,1,25114001
114,65.7909,79.0511,3,25102002
114,66.2841,78.7495,3,25101001
115,67.8001,83.5443,3,25093001
117,69.3179,88.24,3,25104001
118,69.311,88.2286,3,25104001
120,67.7953,83.5421,3,25093001
121,69.3139,88.2247,3,25104001
121,69.3073,88.2323,3,25104001
122,67.2336,132.9746,1,25122001
124,66.2853,78.7381,3,25101001
124,66.2804,78.7533,3,25101001
124,67.7924,83.5412,3,25093001
124,65.791,79.036,3,25102002
124,65.7938,79.0295,3,25102002
124,66.284,78.7566,3,25101001
124,66.2122,77.2326,3,25101002
124,66.2821,78.7475,3,25101001
124,66.2864,78.7615,3,25101001
125,66.9882,134.2598,1,25125004
125,67.1573,132.8139,1,25125003
125,67.4284,133.203,1,25125002
125,67.4254,133.2262,2,25125002
125,67.6016,135.5514,1,25125005
125,67.1318,132.8332,2,25125003
125,66.8812,132.2426,1,25125006
125,67.0497,133.1478,1,25125007
125,67.525,135.4679,1,25125008
125,67.229,135.8859,1,25125009
125,67.0344,135.3339,1,25125010
125,66.2792,78.736,3,25101001
125,66.3247,78.7633,3,25101001
125,66.2831,78.7577,3,25101001
125,65.793,79.046,3,25102002
125,66.3286,78.785,3,25101001
125,66.6084,77.222,1,25125001
125,67.7946,83.5442,3,25093001
125,67.7913,83.5666,3,25093001
125,66.606,77.2363,2,25125001
125,66.2098,77.2506,3,25101002
125,66.2902,78.757,3,25101001
126,67.0128,132.9453,1,25126003
126,66.8079,132.4567,1,25126004
126,66.6913,132.7409,1,25126001
126,66.9355,133.0952,1,25126002
126,67.0407,135.4177,3,25125010
126,67.0003,134.288,3,25125004
126,66.6888,132.7399,2,25126001
126,66.719,132.6653,2,25126001
126,66.5972,132.9181,1,25126005
126,66.9375,133.0845,2,25126002
126,67.2313,135.8313,3,25125009
126,67.6884,134.527,1,25126006
126,67.0442,135.4018,3,25125010
126,67.0474,135.4215,3,25125010
126,67.7867,83.5281,3,25093001
126,66.2846,78.7598,3,25101001
126,67.7935,83.5565,3,25093001
126,65.7887,79.0355,3,25102002
126,66.2807,78.7392,3,25101001
126,65.7706,79.091,3,25102002
126,66.2833,78.7657,3,25101001
126,67.7958,83.5467,3,25093001
126,69.3744,88.0926,3,25104001
126,67.7978,83.5617,3,25093001
126,66.2856,78.7477,3,25101001
126,66.2807,78.7715,3,25101001
126,65.41,82.5132,1,25126007
126,67.7989,83.5702,3,25093001
126,67.7945,83.5547,3,25093001
126,67.7901,83.556,3,25093001
127,67.797,83.5245,3,25093001
127,67.7886,83.5337,3,25093001
127,67.7921,83.5559,3,25093001
127,67.8004,83.5467,3,25093001
127,69.3121,88.2399,3,25104001
127,69.3727,88.1189,3,25104001
127,69.3691,88.1405,3,25104001
127,69.3144,88.2433,3,25104001
127,69.3727,88.1167,3,25104001
128,66.8168,132.2994,3,25126004
128,66.8083,132.2894,3,25126004
128,66.6817,132.7464,3,25126001
128,66.8094,132.2977,3,25126004
128,66.3298,132.966,1,25128001
129,69.3156,88.2437,3,25104001
129,67.7967,83.5559,3,25093001
129,69.3145,88.2419,3,25104001
129,69.3691,88.1248,3,25104001
129,67.7996,83.5288,3,25093001
130,67.1638,134.8043,1,25130001
130,65.2352,79.5264,1,25130002
130,69.3092,88.2222,3,25104001
130,67.7947,83.5556,3,25093001
130,67.7989,83.5329,3,25093001
130,69.3121,88.2337,3,25104001
131,66.4425,142.7496,1,25131002
131,66.4395,142.7713,2,25131002
131,66.5659,132.191,1,25131001
131,66.5622,132.1889,2,25131001
131,66.2833,78.7301,3,25101001
131,65.3869,82.4328,3,25126007
131,66.2858,78.7657,3,25101001
131,65.7935,79.0432,3,25102002
131,65.3858,82.4496,3,25126007
131,65.3864,82.4416,3,25126007
131,65.3964,82.4131,3,25126007
132,67.3399,135.9207,1,25132001
132,67.3363,135.9425,2,25132001
132,66.3945,132.9866,3,25128001
132,67.3225,135.9969,2,25132001
132,67.7959,83.5548,3,25093001
132,67.7929,83.5306,3,25093001
133,66.454,142.2893,1,25133001
133,66.4363,142.3559,2,25133001
133,66.439,142.3559,2,25133001
134,65.791,79.0412,3,25102002
135,67.9318,131.4915,1,25135001
135,67.9277,131.5142,2,25135001
135,67.9312,131.494,2,25135001
135,67.9225,131.5022,2,25135001
135,66.2829,78.7412,3,25101001
135,65.7952,79.0325,3,25102002
135,66.2117,77.2444,3,25101002
135,66.3745,76.957,1,25135002
135,66.2089,77.2215,3,25101002
136,67.6752,130.7068,1,25136002
136,66.391,132.9301,3,25128001
136,66.165,132.7593,1,25136001
136,66.1667,132.7548,2,25136001
136,65.7504,132.645,1,25136003
136,65.9336,132.6811,1,25136004
136,66.1681,132.7764,2,25136001
136,66.1657,132.7377,2,25136001
136,69.3688,88.1152,3,25104001
136,66.2822,78.7545,3,25101001
136,66.2553,78.705,3,25101001
136,65.7924,79.0328,3,25102002
136,66.2559,78.7136,3,25101001
136,66.2813,78.76,3,25101001
136,65.7933,79.0315,3,25102002
137,67.9284,133.6483,1,25137003
137,67.9298,133.6397,2,25137003
137,67.9179,133.5753,2,25137003
137,67.8921,133.549,2,25137003
137,67.9088,133.5693,2,25137003
137,67.896,133.5265,2,25137003
137,67.9273,133.5705,2,25137003
137,68.4704,134.8623,1,25137002
137,67.94,133.6134,2,25137003
137,67.9361,133.6358,2,25137003
137,67.9322,133.6582,2,25137003
137,68.7837,134.3301,1,25137007
137,68.6926,134.2271,1,25137004
137,68.6487,134.4797,1,25137008
137,68.6267,134.1979,2,25137004
137,68.6184,134.1872,2,25137004
137,67.9774,134.5838,1,25137009
137,66.988,132.9243,3,25126003
