doy,lat,lon,status,fireid
85,67.7142,83.4916,1,2085001
101,69.3685,88.1276,1,2101001
106,67.7187,83.4937,3,2085001
106,67.7149,83.4715,3,2085001
108,67.7118,83.4934,3,2085001
108,67.7175,83.5145,3,2085001
108,67.7204,83.4851,3,2085001
108,67.7201,83.5045,3,2085001
115,67.7162,83.4803,3,2085001
115,67.7203,83.5029,3,2085001
115,65.9027,77.2402,1,2115001
115,67.7156,83.5186,3,2085001
116,67.7131,83.4926,3,2085001
117,67.7164,83.5217,3,2085001
118,67.711,83.4932,3,2085001
119,67.71,83.4841,3,2085001
119,67.7161,83.5112,3,2085001
119,67.7219,83.4968,3,2085001
119,67.7158,83.4698,3,2085001
119,67.7141,83.503,3,2085001
120,67.7161,83.4847,3,2085001
120,67.7136,83.4943,3,2085001
120,67.7154,83.5037,3,2085001
120,67.7122,83.4813,3,2085001
120,67.7139,83.4961,3,2085001
121,69.3087,88.2407,3,2101001
121,67.7134,83.4981,3,2085001
122,67.714,83.4997,3,2085001
123,67.7207,83.4917,3,2085001
123,67.7171,83.4959,3,2085001
123,67.7147,83.4922,3,2085001
126,67.7107,83.4951,3,2085001
126,67.7104,83.4906,3,2085001
127,69.3758,88.1142,3,2101001
127,69.3723,88.1381,3,2101001
127,66.7545,79.6641,1,2127001
129,66.4221,143.3234,1,2129005
129,66.9716,132.619,1,2129006
129,66.6886,132.7343,1,2129001
129,65.886,132.6889,1,2129007
129,67.5245,135.4628,1,2129008
129,67.2041,135.2815,1,2129009
129,67.0708,131.9768,1,2129010
129,66.9242,131.9015,1,2129004
129,67.7128,134.8248,1,2129002
129,66.9135,131.901,2,2129004
129,67.7136,134.8304,2,2129002
129,67.7214,134.8068,2,2129002
129,66.0142,131.5084,1,2129003
129,66.9528,131.833,2,2129004
129,66.7117,132.7287,2,2129001
129,66.7135,132.7278,2,2129001
129,66.9512,131.8459,2,2129004
129,66.0148,131.4787,2,2129003
129,66.9633,131.8415,2,2129004
129,66.003,131.4828,2,2129003
129,67.7179,83.4901,3,2085001
129,67.7175,83.4931,3,2085001
130,67.7875,134.0377,1,2130002
130,67.7859,134.099,2,2130002
130,67.7819,134.0924,2,2130002
130,67.1701,134.7865,1,2130009
130,67.7758,134.0872,2,2130002
130,67.7821,134.065,2,2130002
130,66.9708,132.8983,1,2130005
130,66.2743,143.1835,1,2130010
130,67.4796,136.7398,1,2130008
130,67.0511,132.838,2,2130005
130,67.0469,132.8605,2,2130005
130,66.9835,132.9416,2,2130005
130,66.9792,132.9641,2,2130005
130,67.4557,136.6333,2,2130008
130,67.3981,135.7118,1,2130006
130,67.3931,135.7357,2,2130006
130,67.5205,134.2983,1,2130004
130,67.4419,134.4281,1,2130001
130,67.5121,134.2871,2,2130004
130,67.9125,134.2027,1,2130011
130,67.786,134.0797,2,2130002
130,67.7243,136.0696,1,2130007
