doy,lat,lon,status,fireid
43,67.7181,83.497,1,2243001
43,67.7179,83.4969,2,2243001
43,67.7123,83.4777,2,2243001
78,67.7136,83.4734,1,2278001
90,67.7169,83.4812,3,2278001
90,67.7162,83.487,3,2278001
92,65.1769,78.1703,1,2292001
92,65.089,78.3406,1,2292002
94,67.7101,83.4802,3,2243001
94,67.7085,83.492,3,2243001
94,67.7187,83.4655,3,2278001
94,67.7166,83.4681,3,2278001
94,67.7082,83.4767,3,2243001
94,67.7114,83.4991,3,2243001
94,67.7199,83.4905,3,2243001
94,67.7121,83.4984,3,2243001
94,67.7206,83.5066,3,2243001
94,67.7152,83.4755,3,2278001
95,67.7167,83.512,3,2243001
104,65.0946,78.3336,3,2292002
111,67.7145,83.4841,3,2278001
112,69.3187,88.2334,1,2312001
114,67.712,83.4799,3,2243001
119,67.7123,83.4796,3,2243001
120,69.3086,88.2396,3,2312001
120,67.7086,83.4729,3,2243001
120,67.7145,83.4792,3,2278001
121,67.71,83.4538,3,2243001
121,67.7141,83.4764,3,2278001
121,67.7175,83.4787,3,2278001
121,67.7146,83.5058,3,2243001
121,67.7195,83.4851,3,2243001
122,69.3683,88.1137,3,2312001
122,65.0909,78.3164,3,2292002
123,69.3079,88.2347,3,2312001
123,67.7175,83.4931,3,2243001
126,67.7126,83.5042,3,2243001
126,67.7158,83.4813,3,2278001
127,67.709,83.4833,3,2243001
127,67.7095,83.4781,3,2243001
128,67.711,83.4927,3,2243001
128,67.7126,83.4935,3,2243001
129,67.7091,83.4728,3,2243001
130,66.4198,143.3399,1,2330001
131,66.4103,143.2966,3,2330001
131,66.4085,76.9749,1,2331001
132,66.2107,77.2402,1,2332001
133,65.0937,78.346,3,2292002
134,67.8438,166.3461,1,2334001
134,67.8388,166.334,2,2334001
134,67.2465,135.6442,1,2334002
134,67.8458,166.3275,2,2334001
134,67.7205,83.4848,3,2243001
134,67.718,83.5286,3,2243001
135,68.2926,139.3334,1,2335001
135,68.2892,139.3562,2,2335001
135,68.1045,139.3589,1,2335004
135,67.4254,135.5638,1,2335002
135,67.4224,135.5875,2,2335002
135,67.6291,136.5731,1,2335005
135,68.291,139.3576,2,2335001
135,68.2873,139.335,2,2335001
135,67.427,135.576,2,2335002
135,66.5313,131.8225,1,2335003
135,66.5336,131.8643,2,2335003
136,67.7522,153.6649,1,2336002
136,67.5781,144.7175,1,2336001
136,67.5829,144.7312,2,2336001
136,65.0844,78.3203,3,2292002
136,65.088,78.3327,3,2292002
137,67.8452,166.2655,3,2334001
137,67.8367,166.257,3,2334001
137,67.8412,166.2538,3,2334001
137,68.0356,144.6574,1,2337001
137,69.3724,88.1216,3,2312001
137,67.8414,166.3112,3,2334001
137,67.7872,165.9124,1,2337002
137,67.8464,166.2735,3,2334001
137,67.844,166.2649,3,2334001
138,67.7894,165.9196,3,2337002
138,67.8458,166.2956,3,2334001
138,67.7955,165.8923,3,2337002
138,67.8371,166.2818,3,2334001
138,68.4962,154.9168,1,2338007
138,68.0194,144.6848,3,2337001
138,68.4775,155.2554,1,2338003
138,68.3192,154.5146,1,2338004
138,68.3161,154.5384,2,2338004
138,68.5045,154.9861,2,2338007
138,68.0612,151.5769,1,2338001
138,68.0398,151.503,2,2338001
138,68.0241,151.1703,1,2338009
138,68.3834,150.9599,1,2338008
138,68.3801,150.898,2,2338008
138,68.6642,152.3679,1,2338002
138,68.6551,152.3599,2,2338002
138,67.7961,165.8928,3,2337002
138,67.8331,166.2665,3,2334001
138,67.8359,166.2955,3,2334001
138,67.7866,165.9004,3,2337002
138,67.8457,166.289,3,2334001
138,68.3121,154.5083,2,2338004
138,66.3442,150.619,1,2338010
138,68.4777,155.2403,2,2338003
138,68.4913,154.9143,2,2338007
138,68.4815,155.2631,2,2338003
138,67.8428,166.26,3,2334001
138,68.0378,151.5039,2,2338001
138,68.382,150.8793,2,2338008
138,68.658,152.356,2,2338002
138,68.7338,152.2706,1,2338005
138,68.4033,144.4676,1,2338011
138,68.0171,151.1366,2,2338009
138,68.0052,151.1748,2,2338009
138,68.7441,152.273,2,2338005
138,67.8234,154.8249,1,2338006
138,67.8301,154.8331,2,2338006
138,67.8145,154.8776,2,2338006
138,68.8663,150.4651,1,2338012
138,68.744,152.2867,2,2338005
138,67.8213,165.8965,3,2337002
138,67.8213,165.8724,3,2337002
138,67.8187,165.8806,3,2337002
138,67.831,165.8772,3,2337002
138,68.5014,154.9749,2,2338007
138,68.6863,151.6349,1,2338013
139,67.9029,154.7419,3,2338006
139,67.8407,166.3195,3,2334001
139,67.9005,154.7905,3,2338006
139,67.8289,165.8455,3,2337002
139,68.5119,155.4527,3,2338003
139,68.51,155.4465,3,2338003
139,67.8037,165.9282,3,2337002
139,68.4951,154.9898,3,2338007
139,67.811,165.9128,3,2337002
139,67.8067,165.9036,3,2337002
139,67.81,165.9051,3,2337002
139,67.7722,165.9046,3,2337002
139,67.838,166.2964,3,2334001
139,67.8016,165.9169,3,2337002
139,67.7769,165.9284,3,2337002
139,68.6506,153.3822,1,2339001
139,68.6646,153.3856,2,2339001
139,68.6597,153.4099,2,2339001
139,68.5666,153.4923,1,2339002
139,68.4942,155.3232,3,2338003
139,67.8986,154.7942,3,2338006
139,67.8102,165.9143,3,2337002
139,68.4886,155.349,3,2338003
139,67.8956,154.7552,3,2338006
139,68.5116,155.4557,3,2338003
139,68.477,155.2904,3,2338003
139,68.5104,154.7618,3,2338007
139,68.2748,154.6101,3,2338004
139,67.7776,165.9088,3,2337002
139,67.7799,165.9057,3,2337002
139,68.5118,155.4495,3,2338003
139,68.4805,155.3412,3,2338003
139,67.8963,154.7634,3,2338006
139,68.4776,155.3109,3,2338003
139,68.6571,153.3967,2,2339001
139,68.6541,153.3687,2,2339001
139,68.4859,155.3643,3,2338003
139,67.8234,166.3234,3,2334001
139,67.8307,166.3327,3,2334001
139,67.7695,165.9018,3,2337002
139,67.8154,166.3111,3,2334001
139,67.8279,166.3507,3,2334001
139,67.8264,166.3453,3,2334001
139,67.8137,166.3059,3,2334001
139,67.772,165.91,3,2337002
140,67.8229,166.3247,3,2334001
140,67.8604,154.636,3,2338006
140,67.7712,165.9376,3,2337002
140,67.7759,165.9139,3,2337002
140,67.7674,165.9023,3,2337002
140,67.7683,165.9099,3,2337002
140,67.8631,154.6393,3,2338006
140,67.7663,165.9195,3,2337002
140,67.7627,165.899,3,2337002
140,67.2649,135.7604,3,2334002
140,68.7309,151.3589,1,2340001
140,67.9541,154.865,3,2338006
140,67.719,83.4869,3,2243001
140,67.716,83.4628,3,2278001
140,67.7072,83.4705,3,2243001
140,65.09,78.3358,3,2292002
141,68.4533,151.3851,1,2341002
141,68.4563,151.3828,2,2341002
141,68.742,151.3882,3,2340001
141,68.7383,151.4111,3,2340001
141,68.7374,151.3552,3,2340001
141,68.7337,151.3781,3,2340001
141,68.6579,151.7787,3,2338013
141,68.485,151.4447,2,2341002
141,68.4888,151.422,2,2341002
141,68.5198,155.4107,3,2338003
141,68.5235,155.4464,3,2338003
141,68.3394,155.2322,1,2341001
141,68.5122,155.4024,3,2338003
141,68.5092,155.376,3,2338003
141,68.3401,155.2396,2,2341001
141,68.4833,151.428,2,2341002
141,68.48,151.4047,2,2341002
141,68.7437,151.4331,3,2340001
141,68.7405,151.4094,3,2340001
141,68.7372,151.3857,3,2340001
141,68.7339,151.3621,3,2340001
141,68.7447,151.3647,3,2340001
141,65.0887,78.3345,3,2292002
142,67.715,83.4891,3,2278001
142,67.7182,83.4662,3,2278001
142,65.0908,78.3402,3,2292002
142,66.2089,77.2442,3,2332001
143,67.8993,131.402,1,2343001
143,67.8942,131.4064,2,2343001
143,67.9045,131.4349,2,2343001
143,65.0862,78.3301,3,2292002
144,68.4436,151.6198,3,2341002
144,68.7936,152.2574,3,2338005
144,68.8063,151.3761,3,2340001
144,68.8035,151.3358,3,2340001
144,68.4679,151.629,3,2341002
144,68.452,151.5975,3,2341002
144,68.8234,152.2554,3,2338005
144,68.8148,152.2406,3,2338005
144,68.8087,152.2674,3,2338005
144,68.8027,152.2943,3,2338005
144,66.232,144.8452,1,2344002
144,67.4274,131.9684,1,2344001
144,66.2267,144.8566,2,2344002
144,68.8042,151.3837,3,2340001
144,68.8013,151.3514,3,2340001
144,68.4518,151.5784,3,2341002
144,68.8084,151.3119,3,2340001
144,68.813,152.3014,3,2338005
144,68.8101,152.2672,3,2338005
144,68.8074,152.2964,3,2338005
144,68.8149,152.2556,3,2338005
144,68.8252,152.249,3,2338005
144,67.4207,131.9451,2,2344001
144,67.4274,131.9733,2,2344001
144,67.4267,131.9593,2,2344001
144,67.4364,131.9243,2,2344001
144,67.4299,131.9271,2,2344001
