system:index,2013,2014,2015,2016,2017,2018,2019,2020,BIOME,.geo
1_1_0,3.805083981499374E7,8039695.572090598,7.828314890163131E7,2246289.7336284863,205151.7304611206,7.85573758345108E7,1.0462683523020469E8,1.3028706330962036E9,ALL,"{""type"":""Polygon"",""coordinates"":[[[161.9662457325715,69.60076112667406],[161.96624580816297,69.6320497872514],[161.87641417651483,69.63204977450799],[161.87641422587933,69.66329253722024],[161.78658260657537,69.66329245727393],[161.78658255758225,69.63204983515911],[161.69675108861205,69.63204980009036],[161.69675107270095,69.60076114820242],[161.60691966306302,69.60076120883673],[161.60691956300835,69.63204984095792],[161.42725654917643,69.63204981476832],[161.4272564990917,69.60076119017394],[161.3374250990387,69.60076115947268],[161.3374249438441,69.5380458039599],[161.24759350239577,69.538045775883],[161.24759352587614,69.50661891024009],[161.15776203206977,69.50661894082701],[161.15776196003847,69.53804575838709],[161.06793049313512,69.53804577619387],[161.06793031605508,69.60076118174598],[160.97809881154967,69.60076114942478],[160.97809884211955,69.63204981485472],[160.888267236739,69.63204983300955],[160.88826740876394,69.66329245881525],[160.61877271622367,69.66329249152656],[160.6187727087173,69.6944892876733],[160.25944662307214,69.69448925321576],[160.2594467390362,69.72564020256533],[160.07978372474224,69.7256402460103],[160.07978361701367,69.75674536349037],[159.9899522053001,69.75674537596126],[159.98995212813625,69.78780483220926],[159.90012057252832,69.78780488452233],[159.9001205695379,69.81881869092813],[159.8102891308071,69.81881863852227],[159.81028895929902,69.91158661644202],[159.90012058601963,69.91158660511977],[159.9001205172135,69.97320467612471],[159.98995201845187,69.97320466025678],[159.9899520726679,70.00000194255892],[159.9609375047265,70.00000000960756],[159.9082031331737,69.99999997406546],[159.855468728937,69.99999999208961],[159.80273437964516,69.99999997992765],[159.74999998131133,70.00000002168896],[159.69726562200142,70.00000003367558],[159.64453129396657,70.00000001611652],[159.59179698944396,69.99999996923259],[159.5390626034658,69.999999976957],[159.48632812754846,70.00000003938601],[159.43359374850354,69.99999998931068],[159.38085926343828,69.99999999425137],[159.32812497722023,69.99999999680799],[159.27539066672955,69.99999997119168],[159.22265622553311,70.0000000010681],[159.1699219591451,70.00000002933852],[159.1171874291463,70.0000000035761],[159.0644530581735,69.99999997663649],[159.01171873881225,70.00000003222297],[158.9589844466411,69.99999997731216],[158.90624997450146,69.99999997869178],[158.85351562919138,69.99999997986824],[158.80078118749634,69.99999995432394],[158.74804675603767,70.00000001222065],[158.6953125278768,69.99999998747644],[158.6425780782551,70.0000000196344],[158.58984381636128,69.99999996964891],[158.53710931650613,69.9999999767512],[158.4843751021785,70.00000001242478],[158.43164051968282,69.99999999512163],[158.37890620657126,70.00000000689009],[158.326171939542,70.00000002070007],[158.27343749530732,70.00000000922185],[158.2207030809472,70.0000000000888],[158.16796868833163,69.9999999935127],[158.11523430931751,69.99999998969678],[158.06249993574917,69.99999998883567],[158.00976555945797,69.9999999911154],[157.9570311722628,69.9999999967134],[157.90429676596995,70.00000000579848],[157.8515625474879,70.0000000466723],[157.79882818310273,69.99999998078995],[157.7460936704467,70.00000000137413],[157.69335942607455,69.99999997198576],[157.6406250164594,70.00000002939183],[157.58789064395114,70.0000000089311],[157.53515619507337,69.99999999312026],[157.48242187657416,70.00000001071088],[157.4296874650861,70.00000003328742],[157.37695305884222,69.99999997875825],[157.32421875841925,69.99999995832002],[157.2714842334493,70.00000002540637],[157.21875001155604,69.99999996280702],[157.16601554837445,69.99999998798074],[157.11328126515244,69.99999996605916],[157.06054683130077,69.99999995010906],[157.0078124533444,69.9999999694603],[156.9550781228308,70.00000002434362],[156.90234372496917,70.00000000370983],[156.84960935808505,70.000000018977],[156.79687512270445,69.99999998861455],[156.7441406869085,69.99999996495822],[156.69140625706336,69.99999997772332],[156.63867182464372,70.00000002708738],[156.5859374910197,70.00000003164617],[156.53320324830995,69.99999999168125],[156.48046876350168,69.99999995891639],[156.42773445757211,69.9999999935019],[156.37500000321728,69.99999995400643],[156.32226571096987,69.99999998234651],[156.26953114277626,70.00000001818971],[156.21679683088902,70.00000004094949],[156.1640625526277,70.00000002058607],[156.11132818810947,70.00000003851515],[156.0585938408062,70.00000001365342],[156.00585939036972,70.00000002731605],[155.99999995335384,70.00000077087277],[156.00000001803232,66.51951745530427],[156.46125732832456,66.51772023251412],[158.1441948922978,66.5177202092373],[159.8271323852654,66.51772024342192],[161.51006990372977,66.51772025023105],[162.00000003405714,66.51958437468507],[161.9999999955745,69.60078381845783],[161.9662457325715,69.60076112667406]],[[161.06793047566111,69.50661893104663],[161.06793042528844,69.47514587026879],[161.15776188627217,69.47514590158175],[161.15776203206977,69.50661894082701],[161.06793047566111,69.50661893104663]]]}"
1_2_0,0.0,1169273.0303577797,0.0,0.0,0.0,1.1639674680254467E7,199910.34530639648,1.2667018181961784E7,Tundra,"{""type"":""MultiPolygon"",""coordinates"":[[[[156.46057220511173,66.5177239086014],[156.4619380180862,66.51772388480842],[156.7111022490149,66.51886219780751],[156.71110215188756,66.53561132943194],[156.66618565399006,66.53561127204694],[156.66618571048588,66.55348785990427],[156.62126912145413,66.5534878573389],[156.6212693230111,66.57135544322426],[156.55389664470613,66.57135549317746],[156.4865240663425,66.5713554391778],[156.48652396587488,66.5534878474737],[156.4416076153012,66.55348788014952],[156.39669111591436,66.55348781720924],[156.3517744574362,66.55348785099768],[156.30685801857052,66.55348784911541],[156.3068578574653,66.53561132575459],[156.26194134284393,66.53561130944894],[156.26194141025772,66.51866337660363],[156.46057220511173,66.5177239086014]]],[[[160.9781008711232,67.01383203202823],[161.02301295536316,67.01383203948039],[161.02301282045894,66.99628551475786],[161.06792925553643,66.99628551443041],[161.0679293692059,66.96115219078975],[161.11284594089213,66.96115223632879],[161.11284590566305,66.92596991410511],[161.15776244771345,66.92596995939441],[161.15776244826606,66.90836098359465],[161.20267889753197,66.90836088635714],[161.20267894777513,66.89073853587797],[161.24759537765576,66.89073857401989],[161.24759541169996,66.87310284283502],[161.2925075069079,66.87310285168402],[161.29250747386934,66.85545817755343],[161.33742411480355,66.85545818913253],[161.33742410881567,66.8377957014445],[161.38234062343986,66.83779569610665],[161.38234061791945,66.82012427630269],[161.42725713891303,66.82012425454506],[161.42725701314689,66.80243500941468],[161.47217365642604,66.80243497130117],[161.47217360118557,66.7847368048456],[161.5170902332272,66.7847368127697],[161.51709007114482,66.69604979282312],[161.56200232110612,66.69604973949167],[161.56200232467185,66.67827575122172],[161.517090236657,66.67827575772044],[161.51709012911905,66.66048839029935],[161.47217354439744,66.66048845529664],[161.47217354902122,66.64268772913891],[161.42725708794433,66.64268773383311],[161.42725706921897,66.6070461415405],[161.38234058406204,66.60704613796065],[161.38234058066868,66.57135547614455],[161.33742408687723,66.57135542545609],[161.33742414793358,66.51855188026458],[161.50968101980587,66.51772233718404],[161.51046839044153,66.51772238870105],[162.00000003405714,66.51958437468507],[162.00000002794533,67.06639246438489],[161.9887025920362,67.0663914650673],[161.9494011732306,67.06639147005087],[161.91009972032595,67.06639150997087],[161.87079831033282,67.06639149988824],[161.83149694300926,67.06639144012097],[161.83149700612256,67.08388897564551],[161.78658154819405,67.08388900883546],[161.74166617532705,67.08388897653545],[161.69675061972507,67.08388894190892],[161.65183525831895,67.08388895014116],[161.65183534858497,67.10137309805873],[161.5844627138501,67.1013731361781],[161.51709024766828,67.10137311927457],[161.51709014180685,67.11884383991683],[161.47217373602572,67.11884386343046],[161.42725717885963,67.1188439070052],[161.42725707862843,67.13630123882037],[161.35988234630443,67.13630128867521],[161.29250747713002,67.13630128757252],[161.29250762467944,67.15374523908523],[161.24759319636485,67.15374526117742],[161.2026789201679,67.15374526568223],[161.2026788463928,67.13630128274984],[161.15776245765633,67.13630129230282],[161.1128458202115,67.13630122697911],[161.11284583501077,67.11884389825141],[161.06792929877884,67.1188438920059],[161.02301287232174,67.11884384760785],[161.02301279313954,67.083889020869],[160.9781007719314,67.0838889492671],[160.9781008711232,67.01383203202823]]],[[[155.9999999753448,68.93298029358729],[156.00087084482806,68.93298012086363],[156.06964820427018,68.93298013010683],[156.1384254290064,68.93298008705621],[156.20720283524108,68.93298013302456],[156.27598013496623,68.93298012534328],[156.34475734190178,68.9329800634393],[156.41353477307297,68.93298008815032],[156.48231203362647,68.9329801386829],[156.55108934897788,68.93298005139741],[156.61986662094822,68.93298010007366],[156.68864407464298,68.93298012068979],[156.75742131401162,68.93298005325677],[156.82619855326723,68.9329801197413],[156.89497581090066,68.932980126428],[156.9637533050795,68.93298010177007],[157.03253053591175,68.93298006841064],[157.10130792715904,68.93298008403944],[157.17008508316772,68.93298008984424],[157.2388625303713,68.93298006098252],[157.30763987218623,68.9329801318862],[157.37641712274427,68.9329801089118],[157.44519439809838,68.93298010225223],[157.5139717120763,68.93298011113636],[157.5827490784611,68.93298013477235],[157.65152640705492,68.93298006166602],[157.72030371417,68.93298008422393],[157.78908090978226,68.93298009115237],[157.78908103645554,68.9168291922318],[157.82838207397936,68.91682920377768],[157.86768330477656,68.91682923828886],[157.9069843216856,68.91682923965674],[157.94628553687272,68.91682926361857],[157.9855865431482,68.91682925427875],[158.0248877526867,68.91682926715302],[158.06418875827163,68.91682924655872],[158.10348997208456,68.91682924779013],[158.14279119174566,68.91682924295942],[158.1820922148548,68.91682920439375],[158.22139335499435,68.91682926989319],[158.26069440226263,68.91682921866021],[158.29999557180088,68.91682927113996],[158.33929665303495,68.91682920663344],[158.37859786175835,68.91682924547867],[158.41789888893032,68.91682925005564],[158.4178990267621,68.90066495127634],[158.47404402587708,68.90066497594675],[158.53018914347206,68.90066498068617],[158.58633438647027,68.90066496494103],[158.6424794602198,68.90066498440066],[158.69862446886316,68.90066495566553],[158.7547695276703,68.9006649883454],[158.8109147402833,68.9006649987111],[158.86705981289097,68.90066504288676],[158.86705989122376,68.88449181473636],[158.91197420786034,68.88449180778514],[158.95688827922638,68.88449182848684],[158.9568884987773,68.86830527689484],[159.00180485307106,68.86830533661478],[159.04672134737305,68.86830527204816],[159.0467215425384,68.85210535819155],[159.0916380296058,68.8521053962708],[159.09163787641089,68.83589650595243],[159.1365522848522,68.83589655729084],[159.181466513167,68.83589652233809],[159.18146660551645,68.81967437555049],[159.22638313442894,68.81967431963771],[159.27129948865826,68.81967435907913],[159.2712996441158,68.80343872370152],[159.33867427264255,68.80343873461355],[159.40604918540478,68.80343878599872],[159.40604928347054,68.78719422190271],[159.45096340826166,68.78719425140841],[159.49587773531715,68.78719421533802],[159.4958776569941,68.77093636772815],[159.5632525761907,68.77093640701594],[159.63062733657011,68.77093638799906],[159.6306273267129,68.75466514875981],[159.6755416471972,68.7546651454603],[159.72045585724186,68.75466511372792],[159.72045594310805,68.73838496208215],[159.76537231229892,68.73838494515164],[159.81028896653143,68.73838493876382],[159.81028903799236,68.72209136005148],[159.85520547230402,68.72209133464699],[159.8552055278834,68.70578447284984],[159.90012209294716,68.70578445805724],[159.94503842220738,68.70578446683648],[159.94503848352574,68.68946853914633],[159.98995068944504,68.68946858202293],[159.98995057418838,68.67313934616259],[160.05732540989067,68.6731393802512],[160.12470025732236,68.67313935125637],[160.12470022340037,68.65679674354362],[160.1696145684855,68.6567967206956],[160.214528761708,68.65679680103935],[160.21452867845474,68.64044077826726],[160.25944522659108,68.64044076490775],[160.30436190284664,68.64044078338394],[160.30436178009444,68.62407589320382],[160.34927726645248,68.62407583810783],[160.39419257972668,68.62407586493525],[160.43910801415217,68.62407591361371],[160.48402345885532,68.62407587506422],[160.48402332239502,68.60770207703686],[160.540168524518,68.60770200259836],[160.5963135749083,68.60770208333949],[160.65245874299708,68.60770206542313],[160.70860394679187,68.60770203277202],[160.76474890325363,68.60770204551497],[160.82089410951545,68.60770206654716],[160.877039167441,68.60770204753712],[160.93318428476096,68.60770201187098],[160.93318418190745,68.6404407950504],[160.9781007066403,68.64044077751551],[160.97810076353514,68.65679677772708],[161.02301273475055,68.65679677308803],[161.02301282951558,68.67313931632532],[161.06792930075002,68.67313935583587],[161.0679292266483,68.68946861554684],[161.1128458180248,68.68946858363644],[161.11284588994204,68.72209134829387],[161.15776251855684,68.72209134698075],[161.15776232834688,68.77093639868613],[161.20267899682105,68.77093638512066],[161.20267890609426,68.80343873135908],[161.24759542402956,68.8034387198832],[161.24759546041255,68.81967438720767],[161.29250743476408,68.81967435078893],[161.2925074792064,68.83589650350105],[161.33742413195134,68.83589656575809],[161.33742397840078,68.85210537776165],[161.38234049616548,68.85210538411123],[161.38234068199955,68.86830527770417],[161.4272570007258,68.86830533169608],[161.47217354398157,68.86830533065523],[161.4721737172441,68.88449180399903],[161.51709017995958,68.88449179349648],[161.517090245814,68.90066497035859],[161.56200434277577,68.90066499521227],[161.60691871103444,68.90066498488686],[161.60691880445577,68.91682924342196],[161.6518352411645,68.91682922077501],[161.69675168375147,68.91682923307766],[161.69675174476197,68.932980062345],[161.7416682806319,68.932980054165],[161.74166826786842,68.94912207504142],[161.78658491894294,68.94912206472657],[161.78658484944097,69.07781170456956],[161.83149689651344,69.07781167936704],[161.8314968603697,69.23762143657427],[161.78658481956896,69.2376214086117],[161.7865848333495,69.44362740656868],[161.74166841199298,69.44362741053399],[161.74166835820537,69.42785116959631],[161.69675171130152,69.42785114230752],[161.69675181513088,69.41206143869553],[161.65183526359073,69.41206149292091],[161.651835213834,69.39626282023747],[161.60691882163692,69.3962628528255],[161.60691882743424,69.3804508790552],[161.56200228714653,69.38045093432737],[161.56200216875914,69.34879122348538],[161.51709007378804,69.34879127230117],[161.51709017322264,69.30121716728826],[161.47217359556913,69.30121707579943],[161.4721737083225,69.31708707014687],[161.42725706208444,69.31708706862446],[161.42725721345133,69.38045087460692],[161.38234054278803,69.38045090550938],[161.3823406865341,69.39626286379588],[161.4272559553815,69.39626289597234],[161.47217146874883,69.39626284327501],[161.51708684819155,69.39626285238896],[161.5620021843313,69.39626283818143],[161.56200219906356,69.41206147129104],[161.60691878346827,69.41206144698425],[161.60691880139578,69.44362748411945],[161.651835233582,69.443627383777],[161.65183529435302,69.58510131978326],[161.606918694755,69.58510133436677],[161.60691874037926,69.61641313211076],[161.56200440612687,69.6164131074826],[161.51709006832215,69.61641316901978],[161.51709015808964,69.63205124016211],[161.47217369055812,69.63205117937304],[161.47217352209103,69.61641317069908],[161.42725704948555,69.61641317255393],[161.42725711263412,69.50661671419303],[161.38234050885973,69.50661665746675],[161.3823404839508,69.52233948480875],[161.33742411702246,69.52233945436171],[161.29250761928824,69.52233945305822],[161.2925074961111,69.5066166723988],[161.2475953900313,69.50661665655636],[161.24759558157075,69.49088941450925],[161.2026788823776,69.49088941142118],[161.15776242507226,69.49088946576607],[161.15776233511292,69.47514434193742],[161.11284599131412,69.47514433962102],[161.11284594023672,69.3962628413044],[161.1577624917694,69.3962628251656],[161.15776252116015,69.34879127531076],[161.20267889909917,69.34879125718763],[161.20267897327523,69.3329436475764],[161.15776239703456,69.33294362902535],[161.15776242757454,69.28533379414756],[161.11284585209103,69.28533384424588],[161.11284577447879,69.31708706643772],[161.06792943585378,69.3170870501784],[161.06792927554756,69.3804508810916],[161.02301286564503,69.38045085522275],[161.02301289816123,69.475144362643],[160.97810087357854,69.47514435523529],[160.9781008393594,69.50661674058767],[161.02301292429274,69.5066167016537],[161.02301271813977,69.56942759526633],[161.06792942163653,69.56942758873406],[161.06792927073968,69.60076118201331],[161.0636988820892,69.60076221288647],[161.02301521161863,69.60076166908078],[160.9821162734991,69.60076213376506],[160.97809881154967,69.60076114942478],[160.97809884211955,69.63204981485472],[160.96745316345473,69.63205221732038],[160.93318413583668,69.63205122339535],[160.89907226395454,69.63205226216631],[160.888267236739,69.63204983300955],[160.88826732271434,69.6476758807989],[160.84335119659573,69.6476759014524],[160.84335122963535,69.66329169357357],[160.78720665881124,69.66329169484261],[160.73106214172907,69.66329171136218],[160.67491754872196,69.66329163475844],[160.61877311312855,69.6632916827519],[160.61877311312455,69.6632924918307],[160.61877271622367,69.66329249152656],[160.61877270871776,69.69448751284835],[160.5513982402259,69.69448749824505],[160.48402343323963,69.69448754613839],[160.4840234995781,69.67889850759596],[160.43910915887287,69.67889847797636],[160.39419485934206,69.67889849129135],[160.39419477439736,69.66329166429703],[160.34927839538378,69.66329164803722],[160.34927835263863,69.69448754064223],[160.30436167758563,69.6944875659882],[160.25944535020878,69.69448758336085],[160.25944521179247,69.7100721165037],[160.21452870740436,69.71007210098057],[160.21452883294648,69.72563881999326],[160.14715613849742,69.72563878947132],[160.07978364357018,69.72563880916198],[160.0797836810479,69.73826741083472],[160.07978361701367,69.75674536349037],[160.07892491549939,69.7567455800514],[160.03486720978077,69.75674548434186],[159.990750584366,69.75674557722398],[159.9899522053001,69.75674537596126],[159.98995220529986,69.75674547731681],[159.98995064539784,69.75674547711807],[159.9899506543749,69.78780313519322],[159.94503519476578,69.78780310186579],[159.90011983924788,69.78780317863514],[159.85520434621844,69.78780314710892],[159.8102890427097,69.78780314205822],[159.81028904098173,69.7722809910983],[159.76537238098297,69.77228101425413],[159.76537248598012,69.75674552016993],[159.72045592791494,69.75674553790948],[159.72045590102738,69.98857863966077],[159.76537237224812,69.98857859430629],[159.76537240888302,70.00000162037271],[159.74999998131133,70.00000002168896],[159.69726562200142,70.00000003367558],[159.64453129396657,70.00000001611652],[159.59179698944396,69.99999996923259],[159.5390626034658,69.999999976957],[159.48632812754846,70.00000003938601],[159.43359374850354,69.99999998931068],[159.38085926343828,69.99999999425137],[159.32812497722023,69.99999999680799],[159.27539066672955,69.99999997119168],[159.22265622553311,70.0000000010681],[159.1699219591451,70.00000002933852],[159.1171874291463,70.0000000035761],[159.0644530581735,69.99999997663649],[159.01171873881225,70.00000003222297],[158.9589844466411,69.99999997731216],[158.90624997450146,69.99999997869178],[158.85351562919138,69.99999997986824],[158.80078118749634,69.99999995432394],[158.74804675603767,70.00000001222065],[158.6953125278768,69.99999998747644],[158.6425780782551,70.0000000196344],[158.58984381636128,69.99999996964891],[158.53710931650613,69.9999999767512],[158.4843751021785,70.00000001242478],[158.43164051968282,69.99999999512163],[158.37890620657126,70.00000000689009],[158.326171939542,70.00000002070007],[158.27343749530732,70.00000000922185],[158.2207030809472,70.0000000000888],[158.16796868833163,69.9999999935127],[158.11523430931751,69.99999998969678],[158.06249993574917,69.99999998883567],[158.00976555945797,69.9999999911154],[157.9570311722628,69.9999999967134],[157.90429676596995,70.00000000579848],[157.8515625474879,70.0000000466723],[157.79882818310273,69.99999998078995],[157.7460936704467,70.00000000137413],[157.69335942607455,69.99999997198576],[157.6406250164594,70.00000002939183],[157.58789064395114,70.0000000089311],[157.53515619507337,69.99999999312026],[157.48242187657416,70.00000001071088],[157.4296874650861,70.00000003328742],[157.37695305884222,69.99999997875825],[157.32421875841925,69.99999995832002],[157.2714842334493,70.00000002540637],[157.21875001155604,69.99999996280702],[157.16601554837445,69.99999998798074],[157.11328126515244,69.99999996605916],[157.06054683130077,69.99999995010906],[157.0078124533444,69.9999999694603],[156.9550781228308,70.00000002434362],[156.90234372496917,70.00000000370983],[156.84960935808505,70.000000018977],[156.79687512270445,69.99999998861455],[156.7441406869085,69.99999996495822],[156.69140625706336,69.99999997772332],[156.63867182464372,70.00000002708738],[156.5859374910197,70.00000003164617],[156.53320324830995,69.99999999168125],[156.48046876350168,69.99999995891639],[156.42773445757211,69.9999999935019],[156.37500000321728,69.99999995400643],[156.32226571096987,69.99999998234651],[156.26953114277626,70.00000001818971],[156.21679683088902,70.00000004094949],[156.1640625526277,70.00000002058607],[156.11132818810947,70.00000003851515],[156.0585938408062,70.00000001365342],[156.00585939036972,70.00000002731605],[155.99999995335384,70.00000077087277],[155.9999999753448,68.93298029358729]],[[161.38234048929834,69.44362741828516],[161.42725720982523,69.44362742579432],[161.42725705734514,69.45939036333748],[161.38234061858728,69.45939035016022],[161.38234048929834,69.44362741828516]]]]}"
2_0,5817689.594683928,0.0,4.664987798485582E7,1048735.1790690701,12405.697555541992,4124107.050243243,0.0,6.440914442052889E7,ORGANIC,"{""type"":""MultiPolygon"",""coordinates"":[[[[161.96624572674975,68.72111923514339],[161.96624572674975,68.45162464990754],[162.00000001115058,68.45162577305427],[162.00000000764194,68.7211203469489],[161.96624572674975,68.72111923514339]]],[[[159.00180528915533,67.28381478055216],[159.0467210533613,67.28381478055216],[159.09163681756726,67.28381478055216],[159.09163681756726,67.37364630896411],[159.0467210533613,67.37364630896411],[159.00180528915533,67.37364630896411],[159.00180528915533,67.28381478055216]]],[[[158.55264764709554,68.45162464990754],[158.5975634113015,68.45162464990754],[158.6424791755075,68.45162464990754],[158.6424791755075,68.54145617831949],[158.5975634113015,68.54145617831949],[158.55264764709554,68.54145617831949],[158.55264764709554,68.45162464990754]]],[[[161.42725655627802,69.0804453487912],[161.47217232048402,69.0804453487912],[161.51708808468996,69.0804453487912],[161.51708808468996,69.17027687720316],[161.47217232048402,69.17027687720316],[161.42725655627802,69.17027687720316],[161.42725655627802,69.0804453487912]]],[[[159.27129987439116,69.88892910449877],[159.31621563859719,69.88892910449877],[159.36113140280312,69.88892910449877],[159.36113140280312,69.97876063291073],[159.31621563859719,69.97876063291073],[159.27129987439116,69.97876063291073],[159.27129987439116,69.88892910449877]]],[[[159.72045751645092,69.88892910449877],[159.7653732806569,69.88892910449877],[159.81028900132785,69.88892910450429],[159.81028895929902,69.91158661644202],[159.81028904486288,69.91158661646365],[159.81028904486288,69.97876063291073],[159.7653732806569,69.97876063291073],[159.72045751645092,69.97876063291073],[159.72045751645092,69.88892910449877]]],[[[158.4628161186836,67.91263547943583],[158.50773188288957,67.91263547943583],[158.55264764709557,67.91263547943583],[158.59756341130154,67.91263547943583],[158.6424791755075,67.91263547943583],[158.6424791755075,68.09229853625973],[158.59756341130154,68.09229853625973],[158.55264764709557,68.09229853625973],[158.50773188288957,68.09229853625973],[158.4628161186836,68.09229853625973],[158.4628161186836,67.91263547943583]]],[[[156.0000000008142,67.55331023465938],[156.03736485156088,67.55330936578802],[156.08228061576688,67.55330936578802],[156.12719637997284,67.55330936578802],[156.12719637997284,67.64314089419997],[156.1721121441788,67.64314089419997],[156.2170279083848,67.64314089419997],[156.2170279083848,67.91263547943583],[156.1721121441788,67.91263547943583],[156.12719637997284,67.91263547943583],[156.08228061576688,67.91263547943583],[156.03736485156088,67.91263547943583],[156.03736485156088,68.00246700784778],[155.9999999928562,68.00247040614774],[156.0000000008142,67.55331023465938]]],[[[159.36113140280312,69.79909757608682],[159.36113140280312,69.70926604767487],[159.31621563859719,69.70926604767487],[159.27129987439116,69.70926604767487],[159.27129987439116,69.61943451926292],[159.31621563859713,69.61943451926292],[159.3611314028031,69.61943451926292],[159.4060471670091,69.61943451926292],[159.45096293121506,69.61943451926292],[159.45096293121506,69.70926604767487],[159.49587869542106,69.70926604767487],[159.54079445962702,69.70926604767487],[159.585710223833,69.70926604767487],[159.630625988039,69.70926604767487],[159.630625988039,69.79909757608682],[159.56325234173002,69.79909757608682],[159.49587869542106,69.79909757608682],[159.4285050491121,69.79909757608682],[159.36113140280312,69.79909757608682]]],[[[162.00000000282978,69.0804464453222],[161.96624572674975,69.0804453487912],[161.92132996254375,69.0804453487912],[161.87641419833778,69.0804453487912],[161.83149843413182,69.0804453487912],[161.78658266992582,69.0804453487912],[161.74166690571985,69.0804453487912],[161.6967511415139,69.0804453487912],[161.6967511415139,68.99061382037925],[161.65183537730792,68.99061382037925],[161.60691961310192,68.99061382037925],[161.60691961310192,68.81095076355535],[161.6518353773079,68.81095076355535],[161.69675114151386,68.81095076355535],[161.74166690571985,68.81095076355535],[161.78658266992582,68.81095076355535],[161.78658266992582,68.9007822919673],[161.83149843413182,68.9007822919673],[161.87641419833778,68.9007822919673],[161.92132996254375,68.9007822919673],[161.96624572674975,68.9007822919673],[161.96624572674975,68.81095076355535],[162.0000000064535,68.81095187155854],[162.00000000282978,69.0804464453222]]],[[[161.42725655627802,68.72111923514339],[161.42725655627802,68.63128770673144],[161.38234079207206,68.63128770673144],[161.33742502786606,68.63128770673144],[161.2925092636601,68.63128770673144],[161.24759349945413,68.63128770673144],[161.24759349945413,68.54145617831949],[161.2925092636601,68.54145617831949],[161.33742502786606,68.54145617831949],[161.38234079207206,68.54145617831949],[161.42725655627802,68.54145617831949],[161.42725655627802,68.45162464990754],[161.47217232048402,68.45162464990754],[161.51708808469,68.45162464990754],[161.56200384889596,68.45162464990754],[161.60691961310192,68.45162464990754],[161.60691961310192,68.54145617831949],[161.6518353773079,68.54145617831949],[161.69675114151386,68.54145617831949],[161.74166690571985,68.54145617831949],[161.78658266992582,68.54145617831949],[161.78658266992582,68.63128770673144],[161.74166690571985,68.63128770673144],[161.6967511415139,68.63128770673144],[161.6967511415139,68.72111923514339],[161.62937749520495,68.72111923514339],[161.56200384889596,68.72111923514339],[161.494630202587,68.72111923514339],[161.42725655627802,68.72111923514339]]],[[[156.66618555044457,68.1821300646717],[156.66618555044457,68.09229853625973],[156.62126978623857,68.09229853625973],[156.5763540220326,68.09229853625973],[156.53143825782664,68.09229853625973],[156.48652249362067,68.09229853625973],[156.44160672941467,68.09229853625973],[156.3966909652087,68.09229853625973],[156.35177520100274,68.09229853625973],[156.30685943679674,68.09229853625973],[156.30685943679674,67.91263547943583],[156.3517752010027,67.91263547943583],[156.39669096520868,67.91263547943583],[156.44160672941467,67.91263547943583],[156.48652249362064,67.91263547943583],[156.48652249362064,68.00246700784778],[156.53143825782664,68.00246700784778],[156.5763540220326,68.00246700784778],[156.5763540220326,67.91263547943583],[156.62126978623857,67.91263547943583],[156.66618555044454,67.91263547943583],[156.71110131465053,67.91263547943583],[156.7560170788565,67.91263547943583],[156.7560170788565,68.00246700784778],[156.82339072516547,68.00246700784778],[156.89076437147443,68.00246700784778],[156.9581380177834,68.00246700784778],[157.02551166409236,68.00246700784778],[157.02551166409236,68.1821300646717],[156.9805958998864,68.1821300646717],[156.9356801356804,68.1821300646717],[156.89076437147446,68.1821300646717],[156.8458486072685,68.1821300646717],[156.80093284306247,68.1821300646717],[156.75601707885653,68.1821300646717],[156.71110131465053,68.1821300646717],[156.66618555044457,68.1821300646717]]],[[[158.6424791755075,67.91263547943583],[158.6424791755075,67.82280395102387],[158.5975634113015,67.82280395102387],[158.55264764709554,67.82280395102387],[158.55264764709554,67.73297242261192],[158.5975634113015,67.73297242261192],[158.6424791755075,67.73297242261192],[158.6873949397135,67.73297242261192],[158.73231070391947,67.73297242261192],[158.73231070391947,67.64314089419997],[158.6873949397135,67.64314089419997],[158.6424791755075,67.64314089419997],[158.5975634113015,67.64314089419997],[158.55264764709554,67.64314089419997],[158.55264764709554,67.46347783737606],[158.5975634113015,67.46347783737606],[158.6424791755075,67.46347783737606],[158.6424791755075,67.37364630896411],[158.5975634113015,67.37364630896411],[158.55264764709554,67.37364630896411],[158.55264764709554,67.28381478055216],[158.6200212934045,67.28381478055216],[158.68739493971347,67.28381478055216],[158.75476858602244,67.28381478055216],[158.8221422323314,67.28381478055216],[158.8221422323314,67.46347783737606],[158.86705799653737,67.46347783737606],[158.91197376074336,67.46347783737606],[158.91197376074336,67.55330936578802],[158.86705799653737,67.55330936578802],[158.8221422323314,67.55330936578802],[158.8221422323314,67.64314089419997],[158.86705799653737,67.64314089419997],[158.91197376074336,67.64314089419997],[158.95688952494933,67.64314089419997],[159.00180528915533,67.64314089419997],[159.00180528915533,67.73297242261192],[158.95688952494933,67.73297242261192],[158.91197376074336,67.73297242261192],[158.86705799653737,67.73297242261192],[158.8221422323314,67.73297242261192],[158.8221422323314,67.82280395102387],[158.77722646812543,67.82280395102387],[158.73231070391947,67.82280395102387],[158.73231070391947,67.91263547943583],[158.6873949397135,67.91263547943583],[158.6424791755075,67.91263547943583]]]]}"
