system:index,2013,2014,2015,2016,2017,2018,2019,2020,BIOME,.geo
1_1_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ALL,"{""type"":""Polygon"",""coordinates"":[[[159.9899520726679,70.00000194255892],[159.989952142957,70.0346414363326],[160.07978363745008,70.03464143841938],[160.0797836350057,70.21786878137594],[160.16961508257893,70.21786874490195],[160.16961510449835,70.36932420617349],[160.07978357749417,70.36932423318805],[160.07978372736557,70.39948134358708],[160.1696151851887,70.3994813342561],[160.1696152141541,70.42959402639909],[160.0797835665331,70.42959397360003],[160.07978369064807,70.51966545688506],[159.98995201157618,70.5196654697062],[159.98995212850733,70.57949163982322],[159.9001206749639,70.57949160227292],[159.90012046042176,70.63914112637106],[159.81028895915455,70.63914109111329],[159.8102889211981,70.66889976389986],[159.72045759193577,70.66889978093627],[159.72045738287883,70.69861441115953],[159.6306259169168,70.698614361473],[159.63062589792423,70.7282850969389],[159.54079445276952,70.72828510567184],[159.54079441537576,70.75791193324292],[159.45096290066138,70.75791190617512],[159.450962979822,70.78749494781852],[159.36113142632317,70.78749489993491],[159.36113140888503,70.81703414181338],[159.27129974383934,70.81703417113528],[159.2712998622081,70.84652965144285],[159.18146821362512,70.84652968881554],[159.18146827096774,70.87598158629746],[159.00180521930068,70.87598152668222],[159.00180543046338,70.90538981738476],[158.91197379474562,70.90538986327776],[158.91197379891233,70.93475461828541],[158.73231073366284,70.93475458993153],[158.73231065574896,70.96407582126508],[158.642479089697,70.96407580526733],[158.6424792172742,70.99335370998612],[158.2831531766528,70.99335363046741],[158.2831531380068,71.02258815848651],[157.92382697828515,71.02258808251544],[157.92382701274633,71.05177927839043],[157.74416400168545,71.05177924633145],[157.74416393675259,71.08092715327625],[157.20517481690752,71.08092714188653],[157.20517470148187,71.11003186530954],[155.99999999647022,71.11077973752944],[155.99999995335384,70.00000077087277],[156.00585939036972,70.00000002731605],[156.0585938408062,70.00000001365342],[156.11132818810947,70.00000003851515],[156.1640625526277,70.00000002058607],[156.21679683088902,70.00000004094949],[156.26953114277626,70.00000001818971],[156.32226571096987,69.99999998234651],[156.37500000321728,69.99999995400643],[156.42773445757211,69.9999999935019],[156.48046876350168,69.99999995891639],[156.53320324830995,69.99999999168125],[156.5859374910197,70.00000003164617],[156.63867182464372,70.00000002708738],[156.69140625706336,69.99999997772332],[156.7441406869085,69.99999996495822],[156.79687512270445,69.99999998861455],[156.84960935808505,70.000000018977],[156.90234372496917,70.00000000370983],[156.9550781228308,70.00000002434362],[157.0078124533444,69.9999999694603],[157.06054683130077,69.99999995010906],[157.11328126515244,69.99999996605916],[157.16601554837445,69.99999998798074],[157.21875001155604,69.99999996280702],[157.2714842334493,70.00000002540637],[157.32421875841925,69.99999995832002],[157.37695305884222,69.99999997875825],[157.4296874650861,70.00000003328742],[157.48242187657416,70.00000001071088],[157.53515619507337,69.99999999312026],[157.58789064395114,70.0000000089311],[157.6406250164594,70.00000002939183],[157.69335942607455,69.99999997198576],[157.7460936704467,70.00000000137413],[157.79882818310273,69.99999998078995],[157.8515625474879,70.0000000466723],[157.90429676596995,70.00000000579848],[157.9570311722628,69.9999999967134],[158.00976555945797,69.9999999911154],[158.06249993574917,69.99999998883567],[158.11523430931751,69.99999998969678],[158.16796868833163,69.9999999935127],[158.2207030809472,70.0000000000888],[158.27343749530732,70.00000000922185],[158.326171939542,70.00000002070007],[158.37890620657126,70.00000000689009],[158.43164051968282,69.99999999512163],[158.4843751021785,70.00000001242478],[158.53710931650613,69.9999999767512],[158.58984381636128,69.99999996964891],[158.6425780782551,70.0000000196344],[158.6953125278768,69.99999998747644],[158.74804675603767,70.00000001222065],[158.80078118749634,69.99999995432394],[158.85351562919138,69.99999997986824],[158.90624997450146,69.99999997869178],[158.9589844466411,69.99999997731216],[159.01171873881225,70.00000003222297],[159.0644530581735,69.99999997663649],[159.1171874291463,70.0000000035761],[159.1699219591451,70.00000002933852],[159.22265622553311,70.0000000010681],[159.27539066672955,69.99999997119168],[159.32812497722023,69.99999999680799],[159.38085926343828,69.99999999425137],[159.43359374850354,69.99999998931068],[159.48632812754846,70.00000003938601],[159.5390626034658,69.999999976957],[159.59179698944396,69.99999996923259],[159.64453129396657,70.00000001611652],[159.69726562200142,70.00000003367558],[159.74999998131133,70.00000002168896],[159.80273437964516,69.99999997992765],[159.855468728937,69.99999999208961],[159.9082031331737,69.99999997406546],[159.9609375047265,70.00000000960756],[159.9899520726679,70.00000194255892]]]}"
1_2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tundra,"{""type"":""Polygon"",""coordinates"":[[[159.76537240888302,70.00000162037271],[159.76537247085804,70.0192974225243],[159.810288948074,70.0192973348095],[159.81028891461474,70.04997157497175],[159.855205593752,70.04997150463633],[159.85520553230253,70.12645851556252],[159.81028890552136,70.12645848414796],[159.81028900885178,70.1417220175912],[159.85520559118743,70.14172199491603],[159.85520539341059,70.15697212826608],[159.90012193114435,70.15697214102556],[159.94503859729465,70.15697215992986],[159.9450385620296,70.1722133057652],[159.98995286238912,70.1722133027801],[160.03486710155724,70.17221329103494],[160.03486723211145,70.23306668187854],[160.07978351463285,70.23306670025939],[160.07978358273442,70.38440854875826],[160.03486717992644,70.38440860801302],[160.0348672216831,70.42959264225883],[159.9899507172276,70.42959265009931],[159.98995069383338,70.48968795062973],[159.9450384605896,70.48968794616971],[159.94503856701968,70.53464012655274],[159.9001220049007,70.53464011920573],[159.90012206725447,70.57948976415237],[159.85520548376576,70.57948979924124],[159.85520543948857,70.60933897877152],[159.81028888244256,70.60933900700833],[159.8102888508314,70.62424578588238],[159.76537242569927,70.62424575219472],[159.76537230257054,70.65402814879752],[159.72045591656473,70.65402815076204],[159.72045590827298,70.68376142741627],[159.67554387304,70.68376141347419],[159.67554378275483,70.69861469374635],[159.63344886246153,70.69861503169977],[159.6306259169168,70.698614361473],[159.63062589792423,70.7282850969389],[159.62688421073673,70.7282859730917],[159.5857107257333,70.72828555154447],[159.54443549715222,70.72828595854651],[159.54079445276952,70.72828510567184],[159.54079445276898,70.72828554980804],[159.54079417487506,70.72828554977409],[159.5407942924557,70.75791182369844],[159.49587786464707,70.75791177715459],[159.45096123761203,70.7579118075189],[159.45096116116466,70.78749349690204],[159.40604691953658,70.78749349785663],[159.36113259881313,70.78749351148188],[159.36113259881378,70.78749490022118],[159.36113142632317,70.78749489993491],[159.36113140888503,70.81703414181338],[159.3537724415181,70.81703578788093],[159.316216086896,70.81703500839647],[159.278149684461,70.81703570831408],[159.27129974383934,70.81703417113528],[159.27129974384266,70.8170350010081],[159.27129949953502,70.81703500097834],[159.27129956953078,70.83178570003524],[159.22638297222912,70.83178568941995],[159.22638311642925,70.84652748393995],[159.18146655132554,70.84652748887221],[159.18146659439807,70.86126036034625],[159.13655453181676,70.86126034961434],[159.13655453236808,70.87597991614538],[159.06917965994788,70.87597984112088],[159.0018049542324,70.87597987148929],[159.00180478243539,70.90538763934576],[158.95688842632026,70.90538764980859],[158.91197192829404,70.90538763422529],[158.91197199514727,70.9200759010987],[158.8670574367844,70.92007592498948],[158.82214329391178,70.92007590356702],[158.82214325153564,70.93475527963156],[158.77722675474115,70.93475528455527],[158.73421512592148,70.93475550226377],[158.73231073366284,70.93475458993153],[158.73231073366102,70.93475528145129],[158.73231012105157,70.93475528137712],[158.73231016863392,70.94942122137643],[158.68739357654098,70.94942126460857],[158.6424771800324,70.94942125287434],[158.64247715305322,70.96407384968117],[158.5751045807009,70.9640738687568],[158.50773198302358,70.96407389781092],[158.50773207302402,70.97872205514574],[158.4628154164133,70.97872202944183],[158.4178988487007,70.97872205004502],[158.4178989038093,70.99335232120148],[158.35052635290356,70.99335231599105],[158.28315377219403,70.99335236167057],[158.28315377219332,70.99335363104257],[158.2831531766528,70.99335363046741],[158.2831531573345,71.00797816525169],[158.23823737672296,71.00797817165194],[158.23823729618633,71.0225862172276],[158.15963454583743,71.02258622992439],[158.08103180466063,71.02258620902109],[158.0024289311099,71.02258623722577],[157.92382610843183,71.02258614959223],[157.92382614164345,71.05177927880973],[157.92200228064473,71.05178014778086],[157.87891070277976,71.05177991624711],[157.8339954517796,71.05177990481442],[157.7890798206217,71.05177992955588],[157.74614779309402,71.05178019136768],[157.74416400168545,71.05177924633145],[157.74416396923525,71.06635672141259],[157.70205586447904,71.0663567640473],[157.65994718815753,71.06635670491983],[157.61783835942916,71.06635673695119],[157.57572981973001,71.0663567243001],[157.53362100112108,71.0663566919615],[157.49151235079538,71.06635669728783],[157.44940363720823,71.06635671160322],[157.4072950812598,71.06635676377117],[157.3651863366957,71.0663567140023],[157.32307773951084,71.06635670220312],[157.28096905819442,71.06635669944822],[157.2388602874319,71.06635670569634],[157.19675164803994,71.06635675008164],[157.15464302093602,71.06635672160633],[157.11253428876958,71.06635670216478],[157.07042567230502,71.06635672105371],[157.07042562413747,71.08092904764506],[157.0142810361962,71.08092909830032],[156.95813650264978,71.08092910485234],[156.9019920115059,71.08092906741896],[156.84584743691502,71.0809290677556],[156.78970276611247,71.08092910582681],[156.7335584411434,71.08092904827627],[156.67741365464818,71.08092908029788],[156.62126907501124,71.0809290984523],[156.62126914109484,71.09548353212227],[156.56793160350566,71.09548355970963],[156.51459414460624,71.09548354910605],[156.46125663846354,71.09548358179451],[156.40791918990385,71.09548357645608],[156.354581446357,71.09548358412093],[156.3012439654164,71.09548358415591],[156.2479065105623,71.09548354637143],[156.1945689546365,71.09548355199173],[156.14123128656385,71.09548360095752],[156.08789395582517,71.09548356178634],[156.03455626564534,71.09548353533017],[155.9999999958435,71.09548530223648],[155.99999995335384,70.00000077087277],[156.00585939036972,70.00000002731605],[156.0585938408062,70.00000001365342],[156.11132818810947,70.00000003851515],[156.1640625526277,70.00000002058607],[156.21679683088902,70.00000004094949],[156.26953114277626,70.00000001818971],[156.32226571096987,69.99999998234651],[156.37500000321728,69.99999995400643],[156.42773445757211,69.9999999935019],[156.48046876350168,69.99999995891639],[156.53320324830995,69.99999999168125],[156.5859374910197,70.00000003164617],[156.63867182464372,70.00000002708738],[156.69140625706336,69.99999997772332],[156.7441406869085,69.99999996495822],[156.79687512270445,69.99999998861455],[156.84960935808505,70.000000018977],[156.90234372496917,70.00000000370983],[156.9550781228308,70.00000002434362],[157.0078124533444,69.9999999694603],[157.06054683130077,69.99999995010906],[157.11328126515244,69.99999996605916],[157.16601554837445,69.99999998798074],[157.21875001155604,69.99999996280702],[157.2714842334493,70.00000002540637],[157.32421875841925,69.99999995832002],[157.37695305884222,69.99999997875825],[157.4296874650861,70.00000003328742],[157.48242187657416,70.00000001071088],[157.53515619507337,69.99999999312026],[157.58789064395114,70.0000000089311],[157.6406250164594,70.00000002939183],[157.69335942607455,69.99999997198576],[157.7460936704467,70.00000000137413],[157.79882818310273,69.99999998078995],[157.8515625474879,70.0000000466723],[157.90429676596995,70.00000000579848],[157.9570311722628,69.9999999967134],[158.00976555945797,69.9999999911154],[158.06249993574917,69.99999998883567],[158.11523430931751,69.99999998969678],[158.16796868833163,69.9999999935127],[158.2207030809472,70.0000000000888],[158.27343749530732,70.00000000922185],[158.326171939542,70.00000002070007],[158.37890620657126,70.00000000689009],[158.43164051968282,69.99999999512163],[158.4843751021785,70.00000001242478],[158.53710931650613,69.9999999767512],[158.58984381636128,69.99999996964891],[158.6425780782551,70.0000000196344],[158.6953125278768,69.99999998747644],[158.74804675603767,70.00000001222065],[158.80078118749634,69.99999995432394],[158.85351562919138,69.99999997986824],[158.90624997450146,69.99999997869178],[158.9589844466411,69.99999997731216],[159.01171873881225,70.00000003222297],[159.0644530581735,69.99999997663649],[159.1171874291463,70.0000000035761],[159.1699219591451,70.00000002933852],[159.22265622553311,70.0000000010681],[159.27539066672955,69.99999997119168],[159.32812497722023,69.99999999680799],[159.38085926343828,69.99999999425137],[159.43359374850354,69.99999998931068],[159.48632812754846,70.00000003938601],[159.5390626034658,69.999999976957],[159.59179698944396,69.99999996923259],[159.64453129396657,70.00000001611652],[159.69726562200142,70.00000003367558],[159.74999998131133,70.00000002168896],[159.76537240888302,70.00000162037271]]]}"
2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORGANIC,"{""type"":""MultiPolygon"",""coordinates"":[[[[159.09163681756726,70.06859216132268],[159.13655258177323,70.06859216132268],[159.18146834597923,70.06859216132268],[159.2263841101852,70.06859216132268],[159.27129987439116,70.06859216132268],[159.27129987439116,70.15842368973463],[159.2263841101852,70.15842368973463],[159.18146834597923,70.15842368973463],[159.13655258177323,70.15842368973463],[159.09163681756726,70.15842368973463],[159.09163681756726,70.06859216132268]]],[[[156.8458486072685,70.9669074454422],[156.91322225357743,70.9669074454422],[156.9805958998864,70.9669074454422],[157.04796954619536,70.9669074454422],[157.11534319250433,70.9669074454422],[157.11534319250433,71.11035544797498],[157.02384324468125,71.11064067993792],[156.9805958998864,71.11063789090133],[156.91322225357743,71.11063789090133],[156.8458486072685,71.11063789090133],[156.8458486072685,70.9669074454422]]],[[[156.03736485156088,71.05673897385415],[156.08228061576688,71.05673897385415],[156.12719637997284,71.05673897385415],[156.1721121441788,71.05673897385415],[156.2170279083848,71.05673897385415],[156.2170279083848,71.11063789090133],[156.1721121441788,71.11063789090133],[156.12719637997284,71.11063789090133],[156.08228061576688,71.11063789090133],[156.03736485156088,71.11063789090133],[156.03736485156088,71.05673897385415]]],[[[156.30685943679674,71.11063789090133],[156.30685943679674,70.9669074454422],[156.3517752010027,70.9669074454422],[156.39669096520868,70.9669074454422],[156.44160672941467,70.9669074454422],[156.48652249362064,70.9669074454422],[156.48652249362064,71.05673897385415],[156.44160672941467,71.05673897385415],[156.3966909652087,71.05673897385415],[156.3966909652087,71.11063789090133],[156.35177520100274,71.11063789090133],[156.30685943679674,71.11063789090133]]],[[[157.83399541979995,70.60758133179439],[157.87891118400591,70.60758133179439],[157.92382694821188,70.60758133179439],[157.96874271241788,70.60758133179439],[158.01365847662385,70.60758133179439],[158.0585742408298,70.60758133179439],[158.1034900050358,70.60758133179439],[158.14840576924178,70.60758133179439],[158.19332153344774,70.60758133179439],[158.19332153344774,70.69741286020634],[158.14840576924178,70.69741286020634],[158.1034900050358,70.69741286020634],[158.0585742408298,70.69741286020634],[158.01365847662385,70.69741286020634],[157.96874271241788,70.69741286020634],[157.92382694821188,70.69741286020634],[157.87891118400591,70.69741286020634],[157.83399541979995,70.69741286020634],[157.83399541979995,70.60758133179439]]],[[[157.38483777774016,71.08109994100346],[157.38483777774016,71.05673897385415],[157.42975354194613,71.05673897385415],[157.47466930615212,71.05673897385415],[157.47466930615212,70.9669074454422],[157.51958507035812,70.9669074454422],[157.5645008345641,70.9669074454422],[157.5645008345641,70.87707591703025],[157.64310342192454,70.87707591703025],[157.721706009285,70.87707591703025],[157.80030859664546,70.87707591703025],[157.87891118400591,70.87707591703025],[157.95751377136637,70.87707591703025],[158.03611635872684,70.87707591703025],[158.1147189460873,70.87707591703025],[158.19332153344774,70.87707591703025],[158.19332153344774,71.02080636248937],[158.12594788713878,71.02080636248937],[158.0585742408298,71.02080636248937],[157.99120059452085,71.02080636248937],[157.92382694821188,71.02080636248937],[157.92382694821188,71.04775582101296],[157.87891118400591,71.04775582101296],[157.83399541979992,71.04775582101296],[157.78907965559395,71.04775582101296],[157.74416389138798,71.04775582101296],[157.74416389138798,71.05673897385415],[157.699248127182,71.05673897385415],[157.65433236297602,71.05673897385415],[157.65433236297602,71.08103514881864],[157.38483777774016,71.08109994100346]]],[[[158.55264764709554,70.99341874311617],[158.55264764709554,70.87707591703025],[158.50773188288957,70.87707591703025],[158.4628161186836,70.87707591703025],[158.4628161186836,70.69741286020634],[158.50773188288957,70.69741286020634],[158.55264764709554,70.69741286020634],[158.55264764709554,70.78724438861829],[158.59756341130154,70.78724438861829],[158.6424791755075,70.78724438861829],[158.68739493971347,70.78724438861829],[158.73231070391944,70.78724438861829],[158.77722646812543,70.78724438861829],[158.8221422323314,70.78724438861829],[158.86705799653737,70.78724438861829],[158.91197376074336,70.78724438861829],[158.91197376074336,70.69741286020634],[158.95688952494933,70.69741286020634],[159.00180528915533,70.69741286020634],[159.00180528915533,70.78724438861829],[159.0467210533613,70.78724438861829],[159.09163681756726,70.78724438861829],[159.09163681756726,70.69741286020633],[159.15901046387626,70.69741286020634],[159.2263841101852,70.69741286020634],[159.29375775649416,70.69741286020634],[159.36113140280312,70.69741286020634],[159.36113140280312,70.81419384714188],[159.31621563859719,70.81419384714188],[159.27129987439116,70.81419384714188],[159.27129987439116,70.817034171167],[159.27129974383934,70.81703417113528],[159.2712998622081,70.84652965144285],[159.18146821362512,70.84652968881554],[159.18146827096774,70.87598158629746],[159.00180521930068,70.87598152668222],[159.00180528915533,70.8857197150901],[159.00180528915533,70.90402537555383],[158.95688952494933,70.90402537555383],[158.91197376074336,70.90402537555383],[158.91197376074336,70.93097483407742],[158.8670579965374,70.93097483407742],[158.82214223233143,70.93097483407742],[158.77722646812543,70.93097483407742],[158.73231070391947,70.93097483407742],[158.73231070391947,70.94595813284828],[158.73231065574896,70.96407582126508],[158.642479089697,70.96407580526733],[158.6424791755075,70.98377815170717],[158.6424791755075,70.99335371002645],[158.55264764709554,70.99341874311617]]]]}"
